paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,16,C,respiration,-11.29032258,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.31797235,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,18,C,respiration,-11.47465438,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.870967742,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,20,C,respiration,-12.76497696,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.055299539,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,20,C,respiration,-16.6359447,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.188940092,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,22,C,respiration,-15.52995392,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.396313364,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,24,C,respiration,-19.76958525,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.580645161,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,26,C,respiration,-19.03225806,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.133640553,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,28,C,respiration,-19.03225806,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.764976959,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,30,C,respiration,-26.22119816,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.686635945,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,12,C,respiration,-9.078341014,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.580645161,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,14,C,respiration,-12.39631336,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,1.290322581,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,16,C,respiration,-15.71428571,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.396313364,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,18,C,respiration,-17.55760369,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,1.290322581,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,20,C,respiration,-19.76958525,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.31797235,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,20,C,respiration,-22.90322581,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.34562212,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,22,C,respiration,-27.14285714,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.926267281,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,24,C,respiration,-31.19815668,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.741935484,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,26,C,respiration,-34.51612903,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.953917051,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,28,C,respiration,-45.57603687,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.820276498,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
4,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,30,C,respiration,-44.83870968,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,11.79723502,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,12,C,gross photosynthesis,16.0780042,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.135338346,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,14,C,gross photosynthesis,29.9912325,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.134700709,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,16,C,gross photosynthesis,42.09931188,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,8.480565371,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
