paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,broad_coral,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error,n
1,higuchi2015,higuchi2015,table 1,pop,Acropora,pruinosa,13,C,gross production,3,umol cm^-2 hr^-1,umol_o2,cm^2,hr,1,SEM,3,M,lab,NA,NA,NA,NA,100,100,umol m^-2  s^-1,gpp,33.9481,NA,hermatypic coral,2,2,hard,,0.5,3,,0.3,1,3
1,bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,23,C,net photosynthesis,0.050524109,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.00293501,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.050524109,0.024757895,,0.00293501,0.001389474,,10
1,bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,26,C,net photosynthesis,0.047589099,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.002096436,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.047589099,0.026526316,,0.002096436,0.002905263,,10
1,bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,30,C,net photosynthesis,0.037945493,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.007337526,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.037945493,0.031831579,,0.007337526,0.0024,,10
2,bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,23,C,net photosynthesis,0.05932914,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.004192872,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.05932914,0.034610526,,0.004192872,0.002778947,,10
2,bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,26,C,net photosynthesis,0.050943396,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.003144654,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.050943396,0.035368421,,0.003144654,0.0048,,10
2,bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,30,C,net photosynthesis,0.051781971,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.006289308,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.051781971,0.040673684,,0.006289308,0.001957895,,10
3,bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,23,C,net photosynthesis,0.048427673,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.003773585,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.048427673,0.025768421,,0.003773585,0.003031579,,10
3,bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,26,C,net photosynthesis,0.040041929,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.005031447,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.040041929,0.029305263,,0.005031447,0.003157895,,10
3,bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,30,C,net photosynthesis,0.043396226,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.007337526,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.043396226,0.041178947,,0.007337526,0.002021053,,10
