paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,npp,r,gpp
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,31.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,82.24719101,-54.6031746,145.6814495
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,31.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,86.29213483,-54.6031746,140.6288179
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,32.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,87.64044944,-78.73015873,162.3137187
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,32.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,93.03370787,-85.07936508,179.9979292
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,32.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,90.33707865,-52.06349206,182.524245
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,33.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,79.5505618,-69.84126984,149.2597066
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,33.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,106.5168539,-87.61904762,192.8407248
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,34.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,29.66292135,-69.84126984,100.2098361
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,34.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,37.07865169,-78.73015873,117.2603969
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,35.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,4.04494382,-3.80952381,8.837963762
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,35.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,6.741573034,-3.80952381,12.62743745
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,29.5,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,25.61797753,-12.6984127,39.26143227
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,29.5,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,35.05617978,-13.96825397,49.36669543
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,29.5,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,53.93258427,-7.619047619,61.99827437
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,31.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,43.14606742,-39.36507937,85.04987058
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,31.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,49.21348315,-39.36507937,88.83934426
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,31.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,64.71910112,-39.36507937,102.7340811
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,32.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,57.30337079,-36.82539683,94.10319241
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,32.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,75.50561798,-52.06349206,128.2084556
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,33.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,57.97752809,-63.49206349,115.7880932
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,33.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,62.02247191,-63.49206349,122.1038827
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,34.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,18.87640449,-48,66.73615186
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,34.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,24.26966292,-48,75.57825712
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,34.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,37.07865169,-35.55555556,75.57825712
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,35.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,13.48314607,-7.619047619,21.47161346
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,35.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,21.57303371,-3.80952381,25.26108714
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,35.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,inner,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,21.57303371,-3.80952381,25.26108714
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,21,C,gross photosynthesis,3.252393299,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.972583925,-1.279809374,3.252393299
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,22,C,gross photosynthesis,2.596489394,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.575396106,-1.021093289,2.596489394
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,21,C,gross photosynthesis,2.915855537,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.001498695,-0.914356843,2.915855537
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,21,C,gross photosynthesis,2.464287224,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.569875751,-0.894411473,2.464287224
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,31,C,gross photosynthesis,4.202338263,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.380743027,-1.821595236,4.202338263
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,31,C,gross photosynthesis,4.418459642,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.635632442,-1.7828272,4.418459642
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,31,C,gross photosynthesis,3.259670237,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.972130076,-1.28754016,3.259670237
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,32,C,gross photosynthesis,4.122140403,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.146825803,-1.9753146,4.122140403
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,26,C,gross photosynthesis,3.484782942,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.130863121,-1.353919821,3.484782942
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,26,C,gross photosynthesis,3.58556758,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.400340301,-1.185227278,3.58556758
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,26,C,gross photosynthesis,3.257575773,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.022342968,-1.235232805,3.257575773
