paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,12,C,net photosynthesis,10.68501307,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.965435121,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,14,C,net photosynthesis,21.55393113,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.045248569,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,16,C,net photosynthesis,30.76704264,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.701716667,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,18,C,net photosynthesis,41.08424569,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.724010188,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,20,C,net photosynthesis,46.61991863,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.068865147,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,22,C,net photosynthesis,56.2021632,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.780868587,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,26,C,net photosynthesis,63.59474746,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.620580161,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,28,C,net photosynthesis,71.15403698,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,8.827440214,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,30,C,net photosynthesis,64.36741309,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.885621672,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,12,C,net photosynthesis,25.21284689,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.966096649,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
