study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value
delprado_1995,figure 2,pop,ramalina,bourgeana,0,C,net photosynthesis,1.457905544,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,ramalina,bourgeana,5,C,net photosynthesis,2.344969199,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,ramalina,bourgeana,10,C,net photosynthesis,4.513347023,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,ramalina,bourgeana,15,C,net photosynthesis,5.006160164,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,ramalina,bourgeana,20,C,net photosynthesis,3.527720739,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,ramalina,bourgeana,25,C,net photosynthesis,2.073921971,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,ramalina,bourgeana,30,C,net photosynthesis,1.433264887,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
aubert_2007,figure 1,pop,xanthoria ,elegans,2,C,net photosynthesis,410.5516387,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,15.66852368,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,5,C,net photosynthesis,643.6552891,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,20.89240614,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,10,C,net photosynthesis,782.6207667,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,48.74755934,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,15,C,net photosynthesis,679.5925184,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,54.83983287,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,20,C,net photosynthesis,499.9646813,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,74.86072423,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,25,C,net photosynthesis,233.2915728,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,81.82451253,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,30,C,net photosynthesis,-64.72691288,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,92.27019499,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,2,C,respiration,10.1379763,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,13.9275766,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,5,C,respiration,44.76949528,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,20.89240614,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,10,C,respiration,148.9181138,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,47.87604457,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,15,C,respiration,329.6642388,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,55.71030641,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,20,C,respiration,597.4577175,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,73.11977716,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,25,C,respiration,875.7010436,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,81.82451253,SD,5,T,lab,,,,
aubert_2007,figure 1,pop,xanthoria ,elegans,30,C,respiration,1124.342022,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,90.53028915,SD,5,T,lab,,,,
domaschke_2013,figure 1,pop,Cetraria ,aculeata ,0,C,net photosynthesis,1.01048218,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,,,,T,lab,,,location,germany
domaschke_2013,figure 1,pop,Cetraria ,aculeata ,5,C,net photosynthesis,3.157232704,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,,,,T,lab,,,location,germany
domaschke_2013,figure 1,pop,Cetraria ,aculeata ,10,C,net photosynthesis,6.27672956,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,,,,T,lab,,,location,germany
