grpvar,study_id,r_intercept,r_slope,lichen_type,elevation_broad,latitude,centre_temp,n
study_id,eickmeier_adams_1979,3.3413347232579085,0.01820135967980294,green algae,neutral,39.6636,0.629919145955789,1
study_id,kappen_1988,5.166616423723924,-0.12796683772496345,green algae,neutral,54.526,0.206221192832295,1
study_id,kappen_1988,5.166616423723924,-0.12796683772496345,green algae,neutral,57,1.35624769133346,1
study_id,kappen_1988,5.166616423723924,-0.12796683772496345,green algae,neutral,75,1.35624769133346,1
study_id,kappen_1995,6.242156418039679,0.032331449851604174,green algae,neutral,-82.8628,0.487699371720204,1
study_id,kershaw_1977,6.800020771441091,0.021305850236651738,cyanobacteria,neutral,43.3509,-1.14452475532761,1
study_id,kershaw_1977,6.800020771441091,0.021305850236651738,cyanobacteria,neutral,43.3509,0.206221192832295,1
study_id,kershaw_1983,6.9413219058778495,0.014456787393593833,green algae,neutral,47.9885,-1.14452475532761,1
study_id,lange_1969,5.037038356100083,0.016861225605382574,green algae,neutral,30.7944,-0.480671020102847,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-4.15564532597807,2
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-3.7055670063719,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-3.59127908480917,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-3.36053424744244,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-3.00889061016848,2
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-2.89017403595292,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-2.65044425864772,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-2.40760262312666,2
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-2.16158814245752,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-2.03737158958485,2
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-1.78647996720667,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-1.65978862421694,2
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-1.53225589757793,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-1.40387337765797,2
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-1.14452475532761,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-1.0135412638377,2
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-0.748911563768466,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-0.615247250704428,2
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-0.345173507758325,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,-0.208745220814151,3
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,0.346470158335997,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,0.487699371720204,1
study_id,lange2000,-5.557013141131451,0.014572669740425235,cyanobacteria,neutral,8,0.629919145955789,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-3.24406356680111,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-3.12685138890917,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-3.00889061016848,2
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-2.77069437914558,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-2.65044425864772,3
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-2.52941619785877,2
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-2.28499586216808,3
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-2.16158814245752,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-2.03737158958485,2
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-1.91233822558034,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-1.78647996720667,3
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-1.65978862421694,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-1.40387337765797,2
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-1.27463254237835,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-1.14452475532761,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-1.0135412638377,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-0.881673197021165,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-0.748911563768466,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-0.615247250704428,2
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-0.480671020102847,2
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-0.345173507758325,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-0.208745220814151,2
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,-0.0713765355453546,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,0.0669423049042734,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,0.206221192832295,2
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,0.487699371720204,1
study_id,lange2004,-12.417382086260643,0.6572546457493049,cyanobacteria,neutral,8,0.917372357310278,1
study_id,larson_1980,5.012673169320795,0.024628651515642596,green algae,neutral,44.55,0.346470158335997,5
study_id,lechowicz_1973,5.388007881467905,0.008548958511443563,green algae,neutral,43.8673,-1.40387337765797,1
study_id,lechowicz_adams_1974,5.949098948243175,0.0012293189181195735,green algae,neutral,43.7972,-1.14452475532761,1
study_id,lechowicz_adams_1974,5.949098948243175,0.0012293189181195735,green algae,neutral,43.7972,-0.748911563768466,2
study_id,lechowicz_adams_1979,3.9577403458381366,-0.02275847382564489,green algae,neutral,29,-1.14452475532761,2
study_id,lechowicz_adams_1979,3.9577403458381366,-0.02275847382564489,green algae,neutral,29,-0.748911563768466,1
study_id,lechowicz_adams_1979,3.9577403458381366,-0.02275847382564489,green algae,neutral,30,-0.480671020102847,1
study_id,macfarlane_1983,7.177600276002525,-0.02906742195478421,green algae,neutral,45.1603,-1.14452475532761,2
study_id,macfarlane_1983,7.177600276002525,-0.02906742195478421,green algae,neutral,45.1603,0.206221192832295,1
study_id,reiter200,-14.62859774395501,-0.39589940306023813,green algae,neutral,48.6661,-1.78647996720667,2
study_id,reiter200,-14.62859774395501,-0.39589940306023813,green algae,neutral,48.6661,-0.480671020102847,2
study_id,reiter200,-14.62859774395501,-0.39589940306023813,green algae,neutral,48.6661,0.917372357310278,2
study_id,reiter200,-14.62859774395501,-0.39589940306023813,green algae,neutral,48.6661,2.108973785153,2
study_id,sancho_kappen_1989,4.865602587141137,-0.10568833712886107,green algae,neutral,40.25,0.206221192832295,1
study_id,sancho_kappen_1989,4.865602587141137,-0.10568833712886107,green algae,neutral,40.25,0.917372357310278,2
study_id,sancho_kappen_1989,4.865602587141137,-0.10568833712886107,green algae,neutral,40.3314,0.917372357310278,1
study_id,sancho_kappen_1989,4.865602587141137,-0.10568833712886107,green algae,neutral,40.5685,-0.480671020102847,3
study_id,sancho1997,-5.2736541924083795,0.07412426050965024,green algae,high,40.8509,-2.52941619785877,1
study_id,sancho1997,-5.2736541924083795,0.07412426050965024,green algae,high,40.8509,-2.40760262312666,9
study_id,sancho1997,-5.2736541924083795,0.07412426050965024,green algae,high,40.8509,-1.53225589757793,10
study_id,sancho1997,-5.2736541924083795,0.07412426050965024,green algae,high,40.8509,-0.615247250704428,10
study_id,sancho1997,-5.2736541924083795,0.07412426050965024,green algae,high,40.8509,0.346470158335997,10
study_id,sancho1997,-5.2736541924083795,0.07412426050965024,green algae,high,40.8509,1.35624769133346,10
study_id,sancho1997,-5.2736541924083795,0.07412426050965024,green algae,high,40.8509,2.41778025073388,10
study_id,schroeter1995,-11.51461279600627,-0.6369041497033322,green algae,neutral,-77,1.80462420523808,1
study_id,schroeter1995,-11.51461279600627,-0.6369041497033322,green algae,neutral,-77,2.108973785153,1
study_id,schroeter1995,-11.51461279600627,-0.6369041497033322,green algae,neutral,-77,2.41778025073388,1
