latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit,gpp_value,npp_value,r_value
21.4691,minutum,2.2977234272727276e-5,40.27249044438772,15,npp,russnak2021,37,,2.2977234272727276e-5,-8.17E-06
21.4691,minutum,3.9128595606060615e-5,39.58559823145258,20,npp,russnak2021,37,,3.9128595606060615e-5,-1.05E-05
21.4691,minutum,4.3743270265151524e-5,38.92174449622782,25,npp,russnak2021,37,,4.3743270265151524e-5,-1.39E-05
21.4691,minutum,4.835794492424242e-5,38.27978928434875,30,npp,russnak2021,37,,4.835794492424242e-5,-1.86E-05
21.4691,minutum,1.3747884939393939e-5,37.65866662842876,35,npp,russnak2021,37,,1.3747884939393939e-5,-1.86E-05
21.4691,minutum,-1.86E-05,37.05737864138695,40,npp,russnak2021,37,,-1.86E-05,-2.32E-05
-8.7832,psygmophilum,1.4901553606060605e-5,40.98364161,10,npp,russnak2021,38,,1.4901553606060605e-5,-1.86E-05
-8.7832,psygmophilum,4.3743270265151524e-5,40.27249044438772,15,npp,russnak2021,38,,4.3743270265151524e-5,-1.39E-05
-8.7832,psygmophilum,7.489232424242425e-5,39.58559823145258,20,npp,russnak2021,38,,7.489232424242425e-5,-1.97E-05
-8.7832,psygmophilum,1.0142670359848487e-4,38.92174449622782,25,npp,russnak2021,38,,1.0142670359848487e-4,-2.55E-05
-8.7832,psygmophilum,8.066066757575759e-5,38.27978928434875,30,npp,russnak2021,38,,8.066066757575759e-5,-3.93E-05
-8.7832,psygmophilum,1.4901553606060605e-5,37.65866662842876,35,npp,russnak2021,38,,1.4901553606060605e-5,-4.86E-05
-8.7832,psygmophilum,-3.82E-05,37.05737864138695,40,npp,russnak2021,38,,-3.82E-05,-4.74E-05
-8.7832,minutum,9.662956090909092e-6,40.98364161,10,npp,russnak2021,39,,9.662956090909092e-6,-8.89E-06
-8.7832,minutum,1.3141620284090911e-5,40.27249044438772,15,npp,russnak2021,39,,1.3141620284090911e-5,-5.41E-06
-8.7832,minutum,2.3577612863636367e-5,39.58559823145258,20,npp,russnak2021,39,,2.3577612863636367e-5,-1.24E-05
-8.7832,minutum,2.1258503401515153e-5,38.92174449622782,25,npp,russnak2021,39,,2.1258503401515153e-5,-1.93E-05
-8.7832,minutum,9.662956090909092e-6,38.27978928434875,30,npp,russnak2021,39,,9.662956090909092e-6,-3.67E-05
-8.7832,minutum,-2.51E-05,37.65866662842876,35,npp,russnak2021,39,,-2.51E-05,-4.14E-05
-8.7832,minutum,-4.37E-05,37.05737864138695,40,npp,russnak2021,39,,-4.37E-05,-4.95E-05
-8.7832,psygmophilum,2.1258503401515153e-5,40.98364161,10,npp,russnak2021,40,,2.1258503401515153e-5,-6.57E-06
-8.7832,psygmophilum,4.329004329545455e-5,40.27249044438772,15,npp,russnak2021,40,,4.329004329545455e-5,-8.89E-06
-8.7832,psygmophilum,7.227891155303031e-5,39.58559823145258,20,npp,russnak2021,40,,7.227891155303031e-5,-1.35E-05
-8.7832,psygmophilum,8.15553493939394e-5,38.92174449622782,25,npp,russnak2021,40,,8.15553493939394e-5,-1.93E-05
-8.7832,psygmophilum,6.880024738636364e-5,38.27978928434875,30,npp,russnak2021,40,,6.880024738636364e-5,-3.32E-05
-8.7832,psygmophilum,4.676870750000001e-5,37.65866662842876,35,npp,russnak2021,40,,4.676870750000001e-5,-5.41E-06
-8.7832,psygmophilum,-2.74E-05,37.05737864138695,40,npp,russnak2021,40,,-2.74E-05,-2.51E-05
