paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,avg_depth_m,depth_m
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,net photosynthesis,9.292862768,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,net photosynthesis,7.262295082,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,net photosynthesis,6.803779798,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,net photosynthesis,6.279762331,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,net photosynthesis,5.10072303,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,net photosynthesis,4.314696829,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,13.09843224,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,11.26437111,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,9.430309972,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,8.840790321,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,7.203235736,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,net photosynthesis,9.371465388,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,net photosynthesis,8.192426086,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,net photosynthesis,7.209893335,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,net photosynthesis,5.244827833,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,37,C,net photosynthesis,-0.516142888,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,40,C,net photosynthesis,1.321354428,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,40,C,net photosynthesis,-0.643711075,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,45,C,net photosynthesis,-2.995346839,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,5,C,respiration,-0.174672489,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,10,C,respiration,-0.109170306,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,10,C,respiration,-0.76419214,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,15,C,respiration,0.087336245,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,15,C,respiration,-0.174672489,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,15,C,respiration,-0.698689956,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,17,C,respiration,-1.091703057,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,20,C,respiration,-0.56768559,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,20,C,respiration,-0.76419214,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,20,C,respiration,-1.812227074,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,20,C,respiration,-3.056768559,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,23,C,respiration,-2.205240175,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,respiration,-1.091703057,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,respiration,-1.550218341,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,respiration,-1.746724891,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,respiration,-2.270742358,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,respiration,-2.532751092,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,25,C,respiration,-3.187772926,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,respiration,-1.615720524,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,respiration,-2.074235808,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,respiration,-3.84279476,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,respiration,-6.004366812,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,respiration,-0.96069869,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,respiration,-1.222707424,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,respiration,-2.336244541,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,37,C,respiration,-2.008733624,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,40,C,respiration,-1.222707424,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,40,C,respiration,-2.663755459,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
2,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,45,C,respiration,-0.305676856,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,5,C,net photosynthesis,-0.042553191,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,10,C,net photosynthesis,0.340425532,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,10,C,net photosynthesis,0.212765957,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,net photosynthesis,0.85106383,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,net photosynthesis,0.595744681,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,net photosynthesis,0.212765957,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,18,C,net photosynthesis,0.978723404,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,net photosynthesis,2.829787234,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,net photosynthesis,1.744680851,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,net photosynthesis,1.489361702,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,net photosynthesis,1.106382979,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,net photosynthesis,0.723404255,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,23,C,net photosynthesis,3.085106383,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,5.446808511,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,4.425531915,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,3.914893617,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,3.404255319,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,2.893617021,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,net photosynthesis,6.276595745,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,net photosynthesis,5.446808511,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,net photosynthesis,4.936170213,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,net photosynthesis,4.680851064,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,net photosynthesis,5.893617021,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,net photosynthesis,3.914893617,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,net photosynthesis,2.765957447,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,38,C,net photosynthesis,-1.446808511,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,40,C,net photosynthesis,-0.489361702,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,40,C,net photosynthesis,-1.255319149,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
3,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,45,C,net photosynthesis,-1.70212766,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,5,C,respiration,-0.106382979,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,10,C,respiration,-0.106382979,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,10,C,respiration,-0.744680851,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,respiration,-0.170212766,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,respiration,-0.425531915,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,respiration,-0.617021277,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,18,C,respiration,-1.127659574,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,respiration,-0.680851064,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,respiration,-1,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,respiration,-1.382978723,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,22,C,respiration,-1.382978723,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,respiration,-0.744680851,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,respiration,-1.127659574,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,respiration,-1.510638298,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,respiration,-1.765957447,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,respiration,-1.063829787,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,respiration,-1.319148936,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,respiration,-1.893617021,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,respiration,-2.595744681,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,respiration,-0.106382979,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,respiration,-0.936170213,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,respiration,-1.382978723,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
4,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,respiration,-1.70212766,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,0,umol m^-2  s^-1,r,26.4,,1,
