paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,avg_depth_m,depth_m,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,net photosynthesis,5.893617021,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,5.893617021,-0.106382979,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,net photosynthesis,3.914893617,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,3.914893617,-1.382978723,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,35,C,net photosynthesis,2.765957447,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,2.765957447,-1.70212766,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,38,C,net photosynthesis,-1.446808511,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,-1.446808511,-1.063829787,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,40,C,net photosynthesis,-0.489361702,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,-0.489361702,-1.446808511,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,40,C,net photosynthesis,-1.255319149,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,-1.255319149,-1.957446809,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,45,C,net photosynthesis,-1.70212766,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,-1.70212766,-0.872340426,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,5,C,net photosynthesis,0.978723404,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,0.978723404,-1.191489362,,,,
5,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,10,C,net photosynthesis,1.29787234,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,1.29787234,-1.957446809,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,10,C,net photosynthesis,3.595744681,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,3.595744681,-1.191489362,,,,
