rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,tpc_grp,metabolic_category
1.850691747169362e-6,23.416,-6.0120000000000005,69.788,0.5272602120177284,0.3490143469159806,2.0817296279352413,46.372,75.8,13.643999999999998,0.17824586510174784,14_lechowiczadams1974,npp
1.1452313507457444e-6,22.359,-2.5989999999999966,78.518,0.5470136711614283,0.41772164130085643,2.1382383738794073,56.159,81.11699999999999,13.481000000000002,0.12929202986057187,15_lechowiczadams1974,npp
7.56891463312674e-7,20.501,-17.467999999999996,49.559000000000005,0.4142734195518968,NA,1.8109663618810796,29.058000000000003,67.027,12.703,NA,15_sanchokappen1989,npp
1.0819685695941582e-6,18.488,-19.471999999999998,46.184,0.6642445093169341,0.36593785442996046,2.619459360114713,27.695999999999998,65.65599999999999,12.415000000000001,0.29830665488697367,16_delprado1995,npp
1.94818227012194e-6,24.337,-4.2010000000000005,55.5,0.5973758237015526,0.4966410043026862,2.285626641766974,31.163,59.701,11.229000000000003,0.10073481939886642,16_lechowiczadams1974,npp
1.6997864138563685e-6,25.491,-2.5970000000000013,Inf,0.5058610521768078,NA,1.9978850367368792,Inf,Inf,15.25,NA,17_lechowiczadams1974,npp
6.315907804150078e-7,18.657,-26.326999999999998,37.436,0.41595249619790514,0.8422963245470916,1.8268654827009163,18.779,63.763,11.287,-0.42634382834918644,2_domaschke2013,npp
8.737237776923629e-7,12.958423400000003,-Inf,34.1504234,0.31482489455807194,0.557959357426883,1.5998949702082943,21.192,Inf,18.532999999999998,-0.24313446286881102,2_kappen2000,npp
2.9560705436249823e-6,17.187,-Inf,33.466,0.03850725510011556,0.47222694182793384,1.0581820090174316,16.279,Inf,23.129,-0.4337196867278183,2_smith2001,npp
6.904305386399983e-7,16.431,-13.533999999999999,32.408,0.6979492845896855,NA,2.7897871308844806,15.977,45.942,8.384,NA,2_sonesson1989,npp
1.1829194915563986e-6,22.419,-9.963999999999999,38.348,0.6208553428714737,1.3642040166000553,2.3716455547106983,15.928999999999998,48.312,8.713999999999999,-0.7433486737285816,2_zotz2003,npp
3.1126546608327623e-6,32.859,-33.791,Inf,0.2577469632545865,NA,1.4298566465629252,Inf,Inf,25.285,NA,3_brownkershaw1984,npp
8.118572679145822e-8,29.832,-37.239,Inf,0.10571062833130404,NA,1.1538707186717625,Inf,Inf,17.716,NA,3_domaschke2013,npp
0.026589132032633266,12.665000000000001,-Inf,15.427,0.334731708064908,NA,1.6482830575662373,2.7619999999999987,Inf,10.558,NA,3_green1998,npp
7.642333292388783e-7,16.105,-31.424,28.653,0.4748111647889137,0.5504807868790413,2.009381622716417,12.547999999999998,60.077,9.627000000000002,-0.07566962209012762,3_kappen1983,npp
5.884252506197002e-7,17.91,-40.019,36.925000000000004,0.39791182323887586,0.6716146355217831,1.8029120983124827,19.015000000000004,76.944,13.165000000000001,-0.27370281228290727,3_sanchokappen1989,npp
8.213045777416878e-8,16.335,-36.186,75.549,0.2925584467281874,-0.23989832420244395,1.5205136845114657,59.214000000000006,111.73500000000001,21.052,0.5324567709306314,4_domaschke2013,npp
5.766464776198935e-7,23.785,-18.68,41.962,0.4484541300052533,0.9334677126271093,1.8711778567283597,18.177000000000003,60.642,10.733,-0.48501358262185595,5_lechowicz1973,npp
2.692560229767874e-7,16.416,-43.234,31.823,0.3544945142938229,1.1908776139537154,1.695615708807104,15.407,75.057,12.232,-0.8363830996598924,5_sanchokappen1989,npp
1.946117318180108e-7,8.784,-Inf,22.573,0.2762881122021986,0.7436799681734176,1.5252351018139019,13.789,Inf,18.458000000000002,-0.467391855971219,6_kappen1988,npp
1.6779120917309528e-6,24.729,-9.131999999999998,44.664,0.5640314930565727,0.7195213640679952,2.1836767210661674,19.935000000000002,53.796,9.931000000000001,-0.15548987101142242,6_lechowicz1973,npp
1.0117769840582688e-6,22.574,-47.133,79.955,0.1712620706421476,NA,1.2734086783486007,57.381,127.088,24.546,NA,6_sancho1997,npp
5.1724191148840545e-6,29.316,-4.393999999999998,Inf,0.5699639934747279,NA,2.1881823206958764,Inf,Inf,18.548000000000002,NA,7_brownkershaw1984,npp
8.966625067331353e-7,21.383,2.7420000000000044,82.759,0.9124570907734898,0.35071039527157544,3.5783290187149444,61.376000000000005,80.017,11.899000000000001,0.5617466955019144,7_lechowicz1973,npp
5.322054087862219e-8,13.43,-Inf,66.905,0.4096052470518619,0.06763756167226355,1.8442835692893407,53.475,Inf,25.568,0.3419676853795984,7_sanchokappen1989,npp
1.4641920275786953e-6,21.592,-22.91,57.648,0.34820285966497877,NA,1.6430099317891198,36.056000000000004,80.558,15.321000000000002,NA,8_delprado1995,npp
9.116314868477814e-7,26.038,-0.9200000000000017,Inf,0.5268633892384774,NA,2.0570865200478625,Inf,Inf,16.278,NA,8_lechowicz1973,npp
1.111597760310948e-5,42.761,-10.229999999999997,46.645,0.4088251420973851,NA,1.713769136691464,3.8840000000000003,56.875,6.737000000000002,NA,9_brownkershaw1984,npp
6.012774775059909e-7,23.708000000000002,-13.686,44.056,0.49274613407175366,0.9649136662312007,1.9869551151448248,20.347999999999995,57.742,10.583000000000002,-0.472167532159447,9_lechowiczadams1974,npp
1.026045392127543e-6,19.364,-30.137999999999998,38.151,0.42677122619548796,0.6814436807821884,1.8697459045245144,18.787000000000003,68.289,11.927999999999999,-0.25467245458670046,9_sanchokappen1989,npp
5.960926669913132e-7,24.489,-27.107,81.619,0.31443128783899216,0.04066564757255877,1.5582724119351752,57.129999999999995,108.726,20.516999999999996,0.2737656402664334,1_adams_1971,gpp
2.3043400856496312e-6,23.531,-33.701,70.069,0.2740116793171604,NA,1.4757382092030766,46.538000000000004,103.77000000000001,16.955,NA,1_aubert_2007,gpp
4.7226117944561735e-6,35.704,-18.076999999999998,Inf,0.2723748215213322,NA,1.4325232073174725,Inf,Inf,20.724999999999998,NA,1_brownkershaw1984,gpp
1.925645947962916e-6,22.824,-17.42,66.277,0.41344049389007914,NA,1.8018952418694758,43.453,83.697,15.097,NA,1_delprado_1995,gpp
1.4627891880345068e-6,23.034,-20.912,40.751,0.43347968860362385,NA,1.8550719348832727,17.717,61.663,10.8,NA,1_domaschke_2013,gpp
4.204137113051692e-7,24.112000000000002,-23.442,79.528,0.3265275611644732,0.1709239935430499,1.5866972788425449,55.416000000000004,102.97,19.296000000000003,0.15560356762142327,1_eickmeieradams1973,gpp
8.559267031591808e-7,18.053,-17.531,21.327,0.5274050843478396,NA,2.1336838662157356,3.274000000000001,38.858000000000004,4.397,NA,1_kappen1983,gpp
0.004358427699436265,33.021,5.844000000000001,Inf,0.27040752471077767,0.07532313346392958,1.4255581225432525,Inf,Inf,30.323,0.1950843912468481,1_lange2000,gpp
3.001104068908925e-6,25.773,-16.622,Inf,0.2550132633122659,0.11710581933493965,1.413768179970345,Inf,Inf,22.626,0.1379074439773263,1_lange2004,gpp
9.46154828576482e-7,26.043,-11.402999999999999,56.888,0.4543831136404704,NA,1.8707270259962032,30.845,68.291,12.924,NA,1_lechowicz1973,gpp
1.397693286212664e-6,28.328,-39.01,Inf,0.1730520724760249,NA,1.2701426403594596,Inf,Inf,21.155,NA,1_sancho1997,gpp
