tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
7_becker2021,shallow,hard,-17.5388,spp.,3.5235271463414635e-11,NA,36,hermatypic coral,gpp,becker2021
7_becker2021,shallow,hard,-17.5388,spp.,8.177008780487804e-12,NA,37,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,6.268308260162602e-11,NA,20,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,7.232633788617887e-11,NA,22,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,8.026352650406504e-11,NA,24,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,9.55811581300813e-11,NA,28,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,1.0364574024390243e-10,NA,30,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,9.931240121951219e-11,NA,32,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,1.0465970869918698e-10,NA,34,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,7.523905105691056e-11,NA,36,hermatypic coral,gpp,becker2021
8_becker2021,shallow,hard,-17.5388,spp.,3.837587788617886e-11,NA,37,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,6.29098238211382e-11,NA,20,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,8.139645869918698e-11,NA,22,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,9.03159043902439e-11,NA,24,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,1.0863043869918699e-10,NA,28,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,1.0674922723577236e-10,NA,30,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,1.0877824276422764e-10,NA,32,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,1.0766126032520325e-10,NA,34,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,8.362988300813009e-11,NA,36,hermatypic coral,gpp,becker2021
9_becker2021,shallow,hard,-17.5388,spp.,5.17268587804878e-11,NA,37,hermatypic coral,gpp,becker2021
10_becker2021,shallow,hard,-17.5388,spp.,4.157544869918699e-11,NA,20,hermatypic coral,gpp,becker2021
10_becker2021,shallow,hard,-17.5388,spp.,5.679943121951219e-11,NA,22,hermatypic coral,gpp,becker2021
10_becker2021,shallow,hard,-17.5388,spp.,8.05723325203252e-11,NA,24,hermatypic coral,gpp,becker2021
10_becker2021,shallow,hard,-17.5388,spp.,8.846470943089431e-11,NA,28,hermatypic coral,gpp,becker2021
10_becker2021,shallow,hard,-17.5388,spp.,8.438632821138211e-11,NA,30,hermatypic coral,gpp,becker2021
