tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
12_gregoire2017,9.2389,unknown,-1.537653765530303e-5,38.27978928434875,30,r,gregoire2017,12
12_gregoire2017,9.2389,unknown,-1.4501450143939397e-5,37.9046811090979,33,r,gregoire2017,12
5_oakley2014,9.2389,minutum,2.5344955297580113e-8,39.31735768778696,22,r,oakley2014,5
5_oakley2014,9.2389,minutum,2.7486782504905163e-8,38.79163670917708,26,r,oakley2014,5
5_oakley2014,9.2389,minutum,3.159195132112491e-8,38.27978928434875,30,r,oakley2014,5
5_oakley2014,9.2389,minutum,3.7838947344669715e-8,37.781273389387344,34,r,oakley2014,5
6_oakley2014,36.2048,trenchii,1.0709136043165466e-8,39.31735768778696,22,r,oakley2014,6
6_oakley2014,36.2048,trenchii,1.3564905650752122e-8,38.79163670917708,26,r,oakley2014,6
6_oakley2014,36.2048,trenchii,1.75808316677567e-8,38.27978928434875,30,r,oakley2014,6
6_oakley2014,36.2048,trenchii,2.5523440896010458e-8,37.781273389387344,34,r,oakley2014,6
7_oakley2014,21.4691,unknown,7.67488083060824e-9,39.31735768778696,22,r,oakley2014,7
7_oakley2014,21.4691,unknown,1.1244592844996726e-8,38.79163670917708,26,r,oakley2014,7
7_oakley2014,21.4691,unknown,1.4635819254414649e-8,38.27978928434875,30,r,oakley2014,7
7_oakley2014,21.4691,unknown,2.2578428482668407e-8,37.781273389387344,34,r,oakley2014,7
8_oakley2014,32.3078,minutum,1.7670074466971874e-8,39.31735768778696,22,r,oakley2014,8
8_oakley2014,32.3078,minutum,1.95441732766514e-8,38.79163670917708,26,r,oakley2014,8
8_oakley2014,32.3078,minutum,1.6688403662524524e-8,38.27978928434875,30,r,oakley2014,8
8_oakley2014,32.3078,minutum,2.3024642485284496e-8,37.781273389387344,34,r,oakley2014,8
2_iglesios-prieto1992,21.4691,microadriaticum,5.33695315238718e-9,39.58559823145258,20,r,iglesios-prieto1992,2
2_iglesios-prieto1992,21.4691,microadriaticum,1.1565486612164812e-8,38.92174449622782,25,r,iglesios-prieto1992,2
2_iglesios-prieto1992,21.4691,microadriaticum,6.778049960758664e-9,38.27978928434875,30,r,iglesios-prieto1992,2
2_iglesios-prieto1992,21.4691,microadriaticum,1.0057666965336817e-8,37.65866662842876,35,r,iglesios-prieto1992,2
3_leggat2004,-18.37,sp.,-1.7925256049705682e-8,38.53401335397749,28,r,leggat2004,3
3_leggat2004,-18.37,sp.,-2.042476204490952e-8,38.40648062733848,29,r,leggat2004,3
3_leggat2004,-18.37,sp.,-1.4131647373010679e-8,38.15393102597508,31,r,leggat2004,3
3_leggat2004,-18.37,sp.,-1.2353109003706121e-8,37.9046811090979,33,r,leggat2004,3
3_leggat2004,-18.37,sp.,-1.0492694135600606e-8,37.53685305369666,36,r,leggat2004,3
3_leggat2004,-18.37,sp.,-1.0090134946588178e-8,37.4158249929077,37,r,leggat2004,3
3_leggat2004,-18.37,sp.,-4.1950307390451256e-9,37.295574872409844,38,r,leggat2004,3
3_leggat2004,-18.37,sp.,-8.813090255068668e-10,37.17609521560251,39,r,leggat2004,3
3_leggat2004,-18.37,sp.,4.878471768040112e-10,37.05737864138695,40,r,leggat2004,3
4_leggat2004,-18.37,sp.,-1.202787747983431e-8,38.40648062733848,29,r,leggat2004,4
4_leggat2004,-18.37,sp.,-8.71415576629605e-9,38.27978928434875,30,r,leggat2004,4
4_leggat2004,-18.37,sp.,-1.2434985393503374e-8,38.028897661970575,32,r,leggat2004,4
4_leggat2004,-18.37,sp.,-1.1543441901024632e-8,37.65866662842876,35,r,leggat2004,4
4_leggat2004,-18.37,sp.,-1.1784522563767162e-8,37.53685305369666,36,r,leggat2004,4
4_leggat2004,-18.37,sp.,-1.3319705908000865e-8,37.4158249929077,37,r,leggat2004,4
4_leggat2004,-18.37,sp.,-6.128224656638323e-9,37.295574872409844,38,r,leggat2004,4
4_leggat2004,-18.37,sp.,-8.813090255068668e-10,37.17609521560251,39,r,leggat2004,4
4_leggat2004,-18.37,sp.,-1.7728525179856107e-9,37.05737864138695,40,r,leggat2004,4
2_yang2022,18.13,voratum,-9.35836696533682e-6,38.79163670917708,26,r,yang2022,2
2_yang2022,18.13,voratum,-8.560778868541529e-6,38.27978928434875,30,r,yang2022,2
2_yang2022,18.13,voratum,-6.22118712884238e-6,37.781273389387344,34,r,yang2022,2
2_russnak2021,21.4691,minutum,-1.0479157053030304e-5,40.9836416088657,10,r,russnak2021,2
2_russnak2021,21.4691,minutum,-8.17181971969697e-6,40.27249044438772,15,r,russnak2021,2
2_russnak2021,21.4691,minutum,-1.0479157053030304e-5,39.58559823145258,20,r,russnak2021,2
2_russnak2021,21.4691,minutum,-1.3940163053030305e-5,38.92174449622782,25,r,russnak2021,2
2_russnak2021,21.4691,minutum,-1.8554837715909095e-5,38.27978928434875,30,r,russnak2021,2
2_russnak2021,21.4691,minutum,-1.8554837715909095e-5,37.65866662842876,35,r,russnak2021,2
2_russnak2021,21.4691,minutum,-2.3169512382575758e-5,37.05737864138695,40,r,russnak2021,2
4_russnak2021,-8.7832,psygmophilum,-1.8554837715909095e-5,40.9836416088657,10,r,russnak2021,4
4_russnak2021,-8.7832,psygmophilum,-1.3940163053030305e-5,40.27249044438772,15,r,russnak2021,4
4_russnak2021,-8.7832,psygmophilum,-1.970850638257576e-5,39.58559823145258,20,r,russnak2021,4
4_russnak2021,-8.7832,psygmophilum,-2.547684971590909e-5,38.92174449622782,25,r,russnak2021,4
4_russnak2021,-8.7832,psygmophilum,-3.932087371212121e-5,38.27978928434875,30,r,russnak2021,4
4_russnak2021,-8.7832,psygmophilum,-4.855022303030303e-5,37.65866662842876,35,r,russnak2021,4
4_russnak2021,-8.7832,psygmophilum,-4.7396554393939405e-5,37.05737864138695,40,r,russnak2021,4
6_russnak2021,-8.7832,minutum,-8.889919606060608e-6,40.9836416088657,10,r,russnak2021,6
6_russnak2021,-8.7832,minutum,-5.411255412878788e-6,40.27249044438772,15,r,russnak2021,6
