rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,tpc_grp,e_se,metabolic_category
1.0303723689315015e-9,24.639,15.54,46.532,1.568036709407959,1.0368351555371809,NA,21.892999999999997,30.991999999999997,5.209999999999997,0.5312015538707782,2_rodolfo-metalpa2014,0.5851583572367579,r
1.012775942864341e-9,34,-11.326999999999998,47.864000000000004,0.3625048698763894,NA,1.5838545710842677,13.864000000000004,59.191,5.945999999999998,NA,21_banc-prandi2022,0.6734614202772827,r
1.518379130638255e-9,31.912,2.2040000000000006,50.739000000000004,0.5438205818118538,NA,2.017791883878386,18.827000000000005,48.535000000000004,6.954000000000001,NA,23_banc-prandi2022,0.4026090646067811,r
5.589001489129863e-7,19.66,6.486000000000004,36.254000000000005,0.8151190936711803,1.212831315006974,3.0797463292977896,16.594000000000005,29.768,5.573,-0.39771222133579376,3_previati2010,1.8924633685385754,r
4.181422729520903e-11,29.262,-6.495999999999999,52.629000000000005,0.3375387555651384,0.3564398332622887,1.5490903326864776,23.367000000000004,59.125,9.7,-0.01890107769715027,4_jurriaans2019,0.2970356622971749,r
3.911956058089099e-9,29.377,-1.8939999999999984,31.989,0.6874363273529226,NA,2.499036849967739,2.612000000000002,33.882999999999996,3.683,NA,4_nakamura2003,0.04066421815517327,r
6.836320851903035e-7,17.54,13.201,34.702,NA,1.7864923918432545,NA,17.162,21.500999999999998,3.275000000000002,NA,4_previati2010,4.220713399336038,r
7.691674918728297e-10,23.7,18.36,Inf,NA,0.44750409658901474,NA,Inf,Inf,6.779999999999998,NA,4_rodolfo-metalpa2014,3.193319202069862,r
2.3662925069581642e-11,34,5.462000000000003,38.844,0.7507472443047238,NA,2.583768191849466,4.844000000000001,33.382,3.062000000000001,NA,5_jurriaans2019,0.22604184553934625,r
1.8056610885479076e-11,34,12.890999999999998,Inf,0.3635625013466636,NA,1.5871321640453677,Inf,Inf,8.259999999999998,NA,6_jurriaans2019,2.6216744973484216,r
2.3696100802797083e-11,34,5.194000000000003,38.6,0.7461803965462774,NA,2.5691266015946463,4.600000000000001,33.406,3.0459999999999994,NA,6_jurriaans2020,0.22031369021420186,r
3.263123015549004e-11,21.521,-2.902000000000001,27.551000000000002,0.8140984323196044,NA,3.0571211540546024,6.030000000000001,30.453000000000003,4.471,NA,6_jurriaans2021,0.10807108457301587,r
4.6407697817208894e-10,25.070999999999998,16.968000000000004,Inf,1.239061318217773,0.31857494818703025,NA,Inf,Inf,10.642,0.9204863700307427,6_rodolfo-metalpa2014,11.326157551564721,r
4.159038020965095e-11,29.318,-3.2830000000000013,58.802,0.34448958003548774,0.2634142502899314,1.5630900221725241,29.483999999999998,62.085,9.722999999999999,0.08107532974555637,7_jurriaans2021,0.4029178147072823,r
1.6159055026508863e-11,32.84,-Inf,35.772999999999996,0.2727044855219874,NA,1.4177727535218547,2.9329999999999927,Inf,7.079999999999998,NA,8_jurriaans2020,0.1038530446642272,r
6.849314690914852e-11,31.435000000000002,-4.527000000000001,34.798,0.7060542767207668,NA,2.4848332853832598,3.3629999999999995,39.325,4.844000000000001,NA,8_jurriaans2021,0.0625629397720323,r
7.488272092207333e-10,26.95,8.801000000000002,42.798,0.8083351560839046,0.9514887912458444,2.899609865700863,15.848000000000003,33.997,6.396000000000001,-0.1431536351619398,8_rodolfo-metalpa2014,0.7105919030659796,r
