tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
28_becker2021,shallow,hard,-17.5388,spp.,1.860510024390244e-11,NA,32,hermatypic coral,npp,becker2021
28_becker2021,shallow,hard,-17.5388,spp.,6.661400975609755e-12,NA,34,hermatypic coral,npp,becker2021
28_becker2021,shallow,hard,-17.5388,spp.,-5.285210975609756e-12,NA,36,hermatypic coral,npp,becker2021
28_becker2021,shallow,hard,-17.5388,spp.,-1.9842689593495935e-11,NA,37,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,2.2496566991869922e-11,NA,20,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,1.8548798699186992e-11,NA,22,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,2.1518084715447155e-11,NA,24,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,2.1595219756097555e-11,NA,28,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,1.9293351219512193e-11,NA,30,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,1.6003023170731707e-11,NA,32,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,3.773818780487805e-12,NA,34,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,-7.48921569105691e-12,NA,36,hermatypic coral,npp,becker2021
29_becker2021,shallow,hard,-17.5388,spp.,-2.6326066585365855e-11,NA,37,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,1.978905056910569e-11,NA,20,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,2.790163276422764e-11,NA,22,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,3.786629203252032e-11,NA,24,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,4.672760731707317e-11,NA,28,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,4.111360512195122e-11,NA,30,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,3.7152464471544715e-11,NA,32,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,1.6716675365853656e-11,NA,34,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,-5.1077069105691065e-12,NA,36,hermatypic coral,npp,becker2021
30_becker2021,shallow,hard,-17.5388,spp.,-2.6349150406504062e-11,NA,37,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,2.1369793658536583e-11,NA,20,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,3.186496235772357e-11,NA,22,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,3.9567767317073175e-11,NA,24,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,4.984128902439025e-11,NA,28,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,4.773685292682927e-11,NA,30,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,4.446189138211382e-11,NA,32,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,3.098266325203252e-11,NA,34,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,1.2418849512195121e-11,NA,36,hermatypic coral,npp,becker2021
31_becker2021,shallow,hard,-17.5388,spp.,-9.368856178861788e-12,NA,37,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,1.8093465772357724e-11,NA,20,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,2.1056378699186994e-11,NA,22,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,2.646705105691057e-11,NA,24,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,3.421203959349593e-11,NA,28,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,2.846492195121951e-11,NA,30,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,2.574204536585366e-11,NA,32,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,1.447379243902439e-11,NA,34,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,-3.094278292682927e-12,NA,36,hermatypic coral,npp,becker2021
32_becker2021,shallow,hard,-17.5388,spp.,-1.6321257804878046e-11,NA,37,hermatypic coral,npp,becker2021
2_jiang2021,shallow,hard,18.2217,damicornis,4.6306684107259643e-4,1.3366877697841727e-4,27,brooding coral,npp,jiang2021
2_jiang2021,shallow,hard,18.2217,damicornis,8.831687115761936e-4,2.482420143884892e-4,29,brooding coral,npp,jiang2021
2_jiang2021,shallow,hard,18.2217,damicornis,0.001145732387181164,2.5778978417266183e-4,31,brooding coral,npp,jiang2021
2_jiang2021,shallow,hard,18.2217,damicornis,8.640731720078482e-4,9.070381948986265e-5,32,brooding coral,npp,jiang2021
