tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,inv_T,temp,cnidarian_type,metabolic_category,study_id
1_jurriaans2019,shallow,hard,-23.26,spp,7.913682325757576e-11,38.15393102597508,31,hermatypic coral,gpp,jurriaans2019
1_jurriaans2019,shallow,hard,-23.26,spp,8.132230492424242e-11,38.028897661970575,32,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,3.764003318181818e-11,37.9046811090979,33,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,2.555988712121212e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,2.8031781136363635e-11,39.052727987717724,24,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,2.953818984848484e-11,38.92174449622782,25,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,2.8858261742424245e-11,38.79163670917708,26,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,2.776131946969697e-11,38.66239587389746,27,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,2.8362625000000003e-11,38.53401335397749,28,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,4.104539106060606e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,2.7483309999999996e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,4.4343765606060605e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,4.3532380530303023e-11,38.15393102597508,31,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,4.0538432575757575e-11,38.028897661970575,32,hermatypic coral,gpp,jurriaans2019
