rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,tpc_grp,e_se,metabolic_category
7.028752251096103e-5,20,-Inf,45.747,NA,0.3514235911411522,NA,25.747,Inf,8.259999999999998,NA,33_russnak2021,0.6162090008718895,npp
8.324852875294324e-5,24.439999999999998,-0.4129999999999967,61.173,0.8252324692424193,0.5023081539812901,3.1434918704951267,36.733000000000004,61.586,11.235,0.3229243152611292,7_russnak2021,0.07272425715420609,npp
4.404501700859317e-8,27.243000000000002,6.542999999999999,69.313,0.8532541024249573,0.594620171704662,3.165915286201202,42.07,62.77,10.756,0.2586339307202953,9_pierangelini2020,0.4659979512311956,npp
7.492384684358e-5,27.572,-7.8459999999999965,35.313,0.5884764183059802,2.455745412426128,2.221637381258606,7.741000000000003,43.159,6.532,-1.8672689941201481,9_russnak2021,0.3218097701300367,npp
6.799834989232799e-8,30.834,-9.671,41.033,0.4832150144122867,NA,1.8970375123163705,10.199000000000002,50.704,7.925999999999995,NA,1_pierangelini2020,0.11478383300698396,gpp
5.3676695347279654e-8,27.765,-3.684000000000001,47.145,0.5666143317421654,1.1075021278212316,2.1413276548013815,19.380000000000003,50.82900000000001,9.412999999999997,-0.5408877960790662,3_pierangelini2020,0.21125567590614028,gpp
6.803227869564294e-5,29.01,-16.293,41.31,0.450188440069051,1.4820659496263402,1.843806646725118,12.3,57.603,9.234000000000002,-1.0318775095572892,37_russnak2021,0.06445521347799951,gpp
1.3516536057481347e-4,27.339,-6.509,43.799,0.5953199935968275,1.3800277895463067,2.243066757495108,16.46,50.308,9.047,-0.7847077959494791,38_russnak2021,0.09352248646037564,gpp
4.731951115941243e-5,28.328,-15.486999999999998,40.474000000000004,0.43706352598534437,1.6896433913393565,1.812032612271576,12.146000000000004,55.961,9.029,-1.2525798653540121,39_russnak2021,0.12668757425072644,gpp
1.1228716817186722e-4,27.653,-10.448,42.626,0.5302881970119879,1.507061118151146,2.0530841680906775,14.972999999999999,53.074,9.213000000000001,-0.976772921139158,40_russnak2021,0.13816912162875908,gpp
8.985915410193219e-5,27.641000000000002,-10.829999999999998,42.259,0.5178723904401784,1.5243659256088276,2.021659371615755,14.617999999999999,53.089,9.158000000000001,-1.0064935351686493,41_russnak2021,0.02970376350003913,gpp
4.981022389494151e-5,27.325,-0.1839999999999975,43.834,0.7595975482448172,1.4230596407870617,2.796551908522222,16.509000000000004,44.018,8.122,-0.6634620925422445,42_russnak2021,0.14229765261568425,gpp
5.431799346138879e-5,32.061,-8.526,39.113,0.518223722181274,NA,1.9871872266288966,7.052,47.638999999999996,6.739000000000001,NA,43_russnak2021,0.08261507312580933,gpp
7.940252317375947e-5,28.653,-7.661000000000001,40.831,0.5754053980960608,1.6719055751253376,2.184201357008149,12.178000000000004,48.492000000000004,8.122,-1.0965001770292768,44_russnak2021,0.07637823909965312,gpp
1.1062109624815064e-4,35.347,-19.686,39.331,0.365078737856158,NA,1.6102753203847762,3.9840000000000018,59.017,7.056999999999999,NA,45_russnak2021,0.043846356829672556,gpp
5.7434270958352326e-5,26.637999999999998,-Inf,54.434,0.14055970550065408,0.276211733566648,1.204223242597595,27.796,Inf,13.912999999999997,-0.13565202806599394,46_russnak2021,0.14181416334775093,gpp
5.323089178499735e-5,25.516,-Inf,38.698,0.292156267507038,0.931983636584171,1.4757025096192171,13.182000000000002,Inf,9.625999999999998,-0.639827369077133,47_russnak2021,0.13374792996298948,gpp
6.059421846863683e-5,27.993000000000002,-29.339,43.477000000000004,0.27177304423061127,0.5448203836793005,1.4318802003847528,15.484000000000002,72.816,11.870000000000001,-0.27304733944868925,48_russnak2021,0.020262725417719826,gpp
6.787241058224022e-5,25.981,-Inf,44.881,0.26671888330394133,0.354668507806335,1.4266585324558834,18.9,Inf,11.963999999999999,-0.08794962450239369,49_russnak2021,0.15212284948769333,gpp
6.705168253832194e-8,28,-Inf,39.757,NA,1.2402350124854296,NA,11.756999999999998,Inf,5.143999999999998,NA,5_leggat2004,0.721971802911717,gpp
4.9668981233723327e-8,26.833,2.581000000000003,43.354,0.8165104567666333,1.5285854431450945,2.9886735746954365,16.521,40.772999999999996,7.592000000000002,-0.7120749863784612,5_pierangelini2020,0.324557147330117,gpp
7.299300875911545e-5,23.661,17.022,Inf,NA,-0.08545482484968667,NA,Inf,Inf,13.838999999999999,NA,50_russnak2021,26.488180925324713,gpp
1.3798542702423547e-4,25.811,-17.983,51.516000000000005,0.2759123558378754,0.4033874028812707,1.443605518128239,25.705000000000005,69.49900000000001,11.614,-0.1274750470433953,52_russnak2021,0.06922165737296432,gpp
9.404240112862461e-5,28.338,-Inf,41.021,0.025689958419134632,0.427337703067672,1.033826887879103,12.683,Inf,14,-0.40164774464853736,53_russnak2021,0.1056112402684622,gpp
6.692609632300857e-8,29,-Inf,39.228,NA,0.8315200062021124,NA,10.228000000000002,Inf,7.503,NA,6_leggat2004,0.1091698104047669,gpp
1.0427908993210877e-7,29.559,-24.423000000000002,41.038,0.4133293329581404,1.3831874030980136,1.7441621842095147,11.478999999999996,65.461,10.055,-0.9698580701398731,7_pierangelini2020,0.05558941734458209,gpp
