tpc_grp,response_id,study_id,depth_broad,broad_coral,latitude,species,mol_gCmin,metabolic_category
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.5548218674242422e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.3628685504261363e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.6507985258049243e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.7787674038825758e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.3948607698863638e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.4908374282670454e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,2.0347051598011358e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,3.391175265151515e-11,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,7.550163799715906e-11,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,7.870085994318179e-11,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,2.1114864865056817e-11,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,3.071253070549242e-11,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,4.990786240530303e-11,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,1.0429463553503787e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,1.1069307945075756e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,1.4268529893465907e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,1.7787674038825758e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,1.9067362817234848e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,2.0666973792613635e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,2.0347051598011358e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,2.130681818181818e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,2.2266584765625003e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,1.9067362817234848e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,2.5145884517045453e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,2.6585534398674236e-10,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,5.3107084351325754e-11,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,6.590397215909089e-11,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,8.509930385890152e-11,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,8.317977069128788e-12,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,2.4314086813446966e-11,npp
2_castillohelmuth2005,2,castillohelmuth2005,shallow,hard,16.1,annularis,1.7915642916666668e-11,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,1.4943817613636363e-10,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,1.6142902431818178e-10,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,3.066128168939393e-10,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,1.5783115545454543e-10,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,2.0074199196969695e-10,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,1.8035932022727271e-10,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,1.814469803030303e-10,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,2.6269492704545456e-10,npp
5_silbiger2019,5,silbiger2019,shallow,hard,9.14,franksi,2.2368707954545456e-11,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,1.1934818984848484e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,1.8184396219696968e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,1.3558975113636363e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,2.0028898878787878e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,1.8673378939393936e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,1.9966912439393937e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,1.9295978984848488e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,1.963412615151515e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,2.6638193674242417e-10,npp
6_silbiger2019,6,silbiger2019,shallow,hard,9.14,franksi,3.6797005151515146e-11,npp
7_silbiger2019,7,silbiger2019,shallow,hard,9.14,franksi,1.5162868901515148e-10,npp
7_silbiger2019,7,silbiger2019,shallow,hard,9.14,franksi,1.220460240909091e-10,npp
7_silbiger2019,7,silbiger2019,shallow,hard,9.14,franksi,9.861688689393938e-11,npp
7_silbiger2019,7,silbiger2019,shallow,hard,9.14,franksi,1.773996620454545e-10,npp
7_silbiger2019,7,silbiger2019,shallow,hard,9.14,franksi,1.4940379363636362e-10,npp
7_silbiger2019,7,silbiger2019,shallow,hard,9.14,franksi,1.1191943780303028e-10,npp
7_silbiger2019,7,silbiger2019,shallow,hard,9.14,franksi,1.4057973272727272e-10,npp
7_silbiger2019,7,silbiger2019,shallow,hard,9.14,franksi,1.562093731060606e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,1.1892998113636362e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,1.5320780060606058e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,1.435476375e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,1.6806608598484843e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,1.51126675530303e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,1.6263831840909088e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,1.2753990325757575e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,1.6799600068181818e-10,npp
8_silbiger2019,8,silbiger2019,shallow,hard,9.14,franksi,9.095237272727274e-11,npp
1_silbiger2019,1,silbiger2019,shallow,hard,32.27,franksi,8.590819484848484e-11,npp
1_silbiger2019,1,silbiger2019,shallow,hard,32.27,franksi,5.876662734848485e-11,npp
1_silbiger2019,1,silbiger2019,shallow,hard,32.27,franksi,3.84322384090909e-11,npp
1_silbiger2019,1,silbiger2019,shallow,hard,32.27,franksi,9.873639393939394e-11,npp
