tpc_grp,response_id,study_id,elevation_broad,lichen_type,latitude,species,inv_T,mol_gCmin,metabolic_category
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.05272798771773,0.00275984147999999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.92174449622782,0.0029817701448,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.66239587389746,0.00287873183639999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.53401335397749,0.0026885072652,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.40648062733848,0.00242694848039999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.66239587389746,0.0023556142668,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.40648062733848,0.0021733157196,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.028897661970575,0.00169775429279999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.27978928434875,0.0028866578604,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,38.028897661970575,0.0025062087192,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,37.9046811090979,0.00275984147999999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,37.65866662842876,0.001444121532,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,37.4158249929077,0.0018562747692,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,37.65866662842876,0.0027756935268,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,37.17609521560251,0.0027915455748,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,37.05737864138695,0.0019355350068,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,37.05737864138695,9.6063408192e-4,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,36.47499016674626,6.8322324972e-4,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,36.70573500411299,0.0026488771464,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,36.360702245183525,0.0023001321,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,35.910623925577354,0.0015709379124,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,35.910623925577354,7.545574636800001e-4,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,40.9836416088657,1.4916556296000002e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,40.55396862327563,1.4487417216000005e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.99489271601007,1.7562913908e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,40.27249044438772,1.9851655632000003e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,40.1332115564597,2.0638410600000003e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,40.27249044438772,2.3499337752e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.857524030741274,2.1067549668e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.857524030741274,2.407152318e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.7210957437971,2.3070198672000004e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.58559823145258,2.392847682e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.58559823145258,2.1782781456e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.451022000851,2.3213245032000003e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.451022000851,2.2068874176e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.31735768778696,2.3499337752e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.05272798771773,2.2498013244000005e-6,npp
