tpc_grp,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id
5_fujita2014,26.2,kudakajimensis,2.645390071e-13,NA,35,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,1.645390071e-13,NA,35,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,-9.716312056666668e-14,NA,38,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,-8.439716313333333e-14,NA,40,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,-1.3333333333333334e-13,NA,40,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,-2.7801418440000004e-13,NA,45,npp,fujita2014
2_lombard2009,29.5035,universa,3.9599187359882007e-4,NA,15,npp,lombard2009
2_lombard2009,29.5035,universa,3.386017469026549e-4,NA,15,npp,lombard2009
2_lombard2009,29.5035,universa,0.0010445003041297935,NA,20,npp,lombard2009
2_lombard2009,29.5035,universa,0.001205192658702065,NA,20,npp,lombard2009
2_lombard2009,29.5035,universa,0.001239626734660767,NA,20,npp,lombard2009
2_lombard2009,29.5035,universa,0.0014978823038348083,NA,24,npp,lombard2009
2_lombard2009,29.5035,universa,0.0014404921777286135,NA,24,npp,lombard2009
2_lombard2009,29.5035,universa,0.0013716240258112096,NA,24,npp,lombard2009
2_lombard2009,29.5035,universa,0.002295605063421829,NA,29,npp,lombard2009
2_lombard2009,29.5035,universa,0.0022439539498525073,NA,29,npp,lombard2009
2_palme2025,35.2401, lobifera ,1.592920353982301e-11,2.7271386430678467e-11,17,npp,palme2025
2_palme2025,35.2401, lobifera ,2.463126843657817e-11,1.56047197640118e-11,21,npp,palme2025
2_palme2025,35.2401, lobifera ,2.4926253687315635e-11,7.964601769911505e-12,25,npp,palme2025
2_palme2025,35.2401, lobifera ,2.24188790560472e-11,1.519174041297935e-11,29,npp,palme2025
2_palme2025,35.2401, lobifera ,1.902654867256637e-11,2.654867256637168e-12,33,npp,palme2025
2_palme2025,35.2401, lobifera ,6.224188790560472e-13,2.3303834808259587e-12,37,npp,palme2025
1_pinko2020,32.82,orbiculus,4.396875592604298e-5,1.2922835150653182e-5,25,npp,pinko2020
1_pinko2020,32.82,orbiculus,2.1096519766645596e-5,3.996965554354823e-6,30,npp,pinko2020
1_pinko2020,32.82,orbiculus,2.8686121371944792e-5,6.76910414691319e-6,32,npp,pinko2020
1_pinko2020,32.82,orbiculus,-6.801263399441635e-6,7.999850334492204e-6,35,npp,pinko2020
2_pinko2020,32.82,lobifera,5.539837198430255e-5,2.19320673766935e-5,25,npp,pinko2020
2_pinko2020,32.82,lobifera,3.79874550608407e-5,3.2289336777022755e-5,30,npp,pinko2020
2_pinko2020,32.82,lobifera,4.1153076274757686e-5,3.7987454896228397e-6,32,npp,pinko2020
