tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0033130779388800004,38.40648062733848,29,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.004517833554,37.17609521560251,39,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0040264200792,37.05737864138695,40,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.004914134741999999,36.70573500411299,43,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0049379128128,36.360702245183525,46,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0043513870536,35.910623925577354,50,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.00340026420048,35.910623925577354,50,gpp,lange2000,1
1_lange2004,cyanobacteria,high,8,aurata,1.8882119210400002e-6,40.9836416088657,10,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.6879470195600003e-6,40.55396862327563,13,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.4532450334400004e-6,40.27249044438772,15,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.37456953688e-6,40.1332115564597,16,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.5033112582400002e-6,39.857524030741274,18,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.87523178824e-6,39.857524030741274,18,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,3.2185430460000003e-6,39.7210957437971,19,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.7321854304000005e-6,39.451022000851,21,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.8609271527200003e-6,39.451022000851,21,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,3.29006622552e-6,39.31735768778696,22,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.8466225164800004e-6,39.052727987717724,24,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.99682119208e-6,39.18459605453426,23,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,3.1899337752000005e-6,38.92174449622782,25,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.71072847712e-6,38.79163670917708,26,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.9181456957600002e-6,38.66239587389746,27,gpp,lange2004,1
