tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id,paper_unit,mol_grammin
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0017262879792,NA,39,r,lange2000,2,0.0017262879792
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0020908850724000003,NA,39,r,lange2000,2,0.0020908850724000003
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0022652575956,NA,42,r,lange2000,2,0.0022652575956
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0026377807128,NA,46,r,lange2000,2,0.0026377807128
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0027804491412,NA,50,r,lange2000,2,0.0027804491412
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0026457067368,NA,50,r,lange2000,2,0.0026457067368
2_lange2004,cyanobacteria,high,8,aurata,-1.3907284764000003e-7,NA,9,r,lange2004,2,1.3907284764000003e-7
2_lange2004,cyanobacteria,high,8,aurata,-3.9655629144000004e-7,NA,10,r,lange2004,2,3.9655629144000004e-7
2_lange2004,cyanobacteria,high,8,aurata,-2.3920529796e-7,NA,13,r,lange2004,2,2.3920529796e-7
2_lange2004,cyanobacteria,high,8,aurata,-4.680794702400001e-7,NA,14,r,lange2004,2,4.680794702400001e-7
2_lange2004,cyanobacteria,high,8,aurata,-3.1072847688000006e-7,NA,16,r,lange2004,2,3.1072847688000006e-7
2_lange2004,cyanobacteria,high,8,aurata,-3.9655629144000004e-7,NA,18,r,lange2004,2,3.9655629144000004e-7
2_lange2004,cyanobacteria,high,8,aurata,-4.680794702400001e-7,NA,18,r,lange2004,2,4.680794702400001e-7
2_lange2004,cyanobacteria,high,8,aurata,-9.115231788000002e-7,NA,18,r,lange2004,2,9.115231788000002e-7
2_lange2004,cyanobacteria,high,8,aurata,-4.1086092720000003e-7,NA,21,r,lange2004,2,4.1086092720000003e-7
2_lange2004,cyanobacteria,high,8,aurata,-6.5403973512e-7,NA,21,r,lange2004,2,6.5403973512e-7
2_lange2004,cyanobacteria,high,8,aurata,-9.401324503200001e-7,NA,21,r,lange2004,2,9.401324503200001e-7
2_lange2004,cyanobacteria,high,8,aurata,-5.968211920800001e-7,NA,24,r,lange2004,2,5.968211920800001e-7
2_lange2004,cyanobacteria,high,8,aurata,-9.544370860800001e-7,NA,24,r,lange2004,2,9.544370860800001e-7
2_lange2004,cyanobacteria,high,8,aurata,-1.2834437088e-6,NA,24,r,lange2004,2,1.2834437088e-6
2_lange2004,cyanobacteria,high,8,aurata,-7.9708609272e-7,NA,26,r,lange2004,2,7.9708609272e-7
2_lange2004,cyanobacteria,high,8,aurata,-1.14039735096e-6,NA,27,r,lange2004,2,1.14039735096e-6
2_lange2004,cyanobacteria,high,8,aurata,-1.4550993372000002e-6,NA,27,r,lange2004,2,1.4550993372000002e-6
2_lange2004,cyanobacteria,high,8,aurata,-1.0688741721600002e-6,NA,29,r,lange2004,2,1.0688741721600002e-6
2_lange2004,cyanobacteria,high,8,aurata,-1.19046357612e-6,NA,30,r,lange2004,2,1.19046357612e-6
2_lange2004,cyanobacteria,high,8,aurata,-1.569536424e-6,NA,30,r,lange2004,2,1.569536424e-6
2_lange2004,cyanobacteria,high,8,aurata,-1.4908609272000004e-6,NA,33,r,lange2004,2,1.4908609272000004e-6
2_lange2004,cyanobacteria,high,8,aurata,-1.7841059604000003e-6,NA,36,r,lange2004,2,1.7841059604000003e-6
2_lange2004,cyanobacteria,high,8,aurata,-2.1703311264e-6,NA,41,r,lange2004,2,2.1703311264e-6
2_lange2004,cyanobacteria,high,8,aurata,-2.4421192056e-6,NA,43,r,lange2004,2,2.4421192056e-6
2_lange2004,cyanobacteria,high,8,aurata,-2.8855629144e-6,NA,46,r,lange2004,2,2.8855629144e-6
2_reiter2000,green algae,high,47.0004,islandica,-1.6477351283999997e-7,NA,2,r,reiter2000,2,1.6477351283999997e-7
2_reiter2000,green algae,high,47.0004,islandica,-2.6513683535999997e-7,NA,10,r,reiter2000,2,2.6513683535999997e-7
2_reiter2000,green algae,high,47.0004,islandica,-4.2502997579999996e-7,NA,20,r,reiter2000,2,4.2502997579999996e-7
2_reiter2000,green algae,high,47.0004,islandica,-8.0044692732e-7,NA,30,r,reiter2000,2,8.0044692732e-7
4_reiter2000,green algae,high,47.0004,nivalis,-2.0254335263999996e-7,NA,2,r,reiter2000,4,2.0254335263999996e-7
4_reiter2000,green algae,high,47.0004,nivalis,-4.910344827600001e-7,NA,10,r,reiter2000,4,4.910344827600001e-7
4_reiter2000,green algae,high,47.0004,nivalis,-7.833043478399999e-7,NA,20,r,reiter2000,4,7.833043478399999e-7
4_reiter2000,green algae,high,47.0004,nivalis,-1.3064347824e-6,NA,30,r,reiter2000,4,1.3064347824e-6
1_sancho1997,green algae,high,40.8509,grisea,-8.804571432e-8,NA,0,r,sancho1997,1,8.804571432e-8
1_sancho1997,green algae,high,40.8509,grisea,-1.4729142851999997e-7,NA,7,r,sancho1997,1,1.4729142851999997e-7
1_sancho1997,green algae,high,40.8509,grisea,-1.6265142852e-7,NA,14,r,sancho1997,1,1.6265142852e-7
1_sancho1997,green algae,high,40.8509,grisea,-3.2502857147999996e-7,NA,21,r,sancho1997,1,3.2502857147999996e-7
1_sancho1997,green algae,high,40.8509,grisea,-4.4132571431999995e-7,NA,28,r,sancho1997,1,4.4132571431999995e-7
1_sancho1997,green algae,high,40.8509,grisea,-5.4226285716e-7,NA,35,r,sancho1997,1,5.4226285716e-7
7_sancho1997,green algae,high,40.8509,freyi,-1.5880322207999997e-7,NA,0,r,sancho1997,7,1.5880322207999997e-7
7_sancho1997,green algae,high,40.8509,freyi,-2.427617951999999e-7,NA,7,r,sancho1997,7,2.427617951999999e-7
7_sancho1997,green algae,high,40.8509,freyi,-2.6927502876e-7,NA,14,r,sancho1997,7,2.6927502876e-7
7_sancho1997,green algae,high,40.8509,freyi,-4.040506329599999e-7,NA,21,r,sancho1997,7,4.040506329599999e-7
7_sancho1997,green algae,high,40.8509,freyi,-5.255696202e-7,NA,28,r,sancho1997,7,5.255696202e-7
7_sancho1997,green algae,high,40.8509,freyi,-6.647640967199999e-7,NA,35,r,sancho1997,7,6.647640967199999e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,9.007530000000001e-8,NA,0,r,scholander1952,1,9.007530000000001e-8
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,1.0710103958333334e-7,NA,0,r,scholander1952,1,1.0710103958333334e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,1.230110322916667e-7,NA,0,r,scholander1952,1,1.230110322916667e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,1.8637823333333333e-7,NA,0,r,scholander1952,1,1.8637823333333333e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,2.06779734375e-7,NA,0,r,scholander1952,1,2.06779734375e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,2.2941444270833335e-7,NA,0,r,scholander1952,1,2.2941444270833335e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,3.70961928125e-7,NA,10,r,scholander1952,1,3.70961928125e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,3.9756168958333333e-7,NA,10,r,scholander1952,1,3.9756168958333333e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,4.4119184375e-7,NA,10,r,scholander1952,1,4.4119184375e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,4.893928645833334e-7,NA,10,r,scholander1952,1,4.893928645833334e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,5.621284291666666e-7,NA,10,r,scholander1952,1,5.621284291666666e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,6.455514239583334e-7,NA,10,r,scholander1952,1,6.455514239583334e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,7.913958322916667e-7,NA,20,r,scholander1952,1,7.913958322916667e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,8.188625739583334e-7,NA,20,r,scholander1952,1,8.188625739583334e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,9.088433885416667e-7,NA,20,r,scholander1952,1,9.088433885416667e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,9.91084259375e-7,NA,20,r,scholander1952,1,9.91084259375e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,1.0804929583333332e-6,NA,20,r,scholander1952,1,1.0804929583333332e-6
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,1.0080722708333334e-6,NA,20,r,scholander1952,1,1.0080722708333334e-6
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,9.405056260416667e-7,NA,20,r,scholander1952,1,9.405056260416667e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,5.200136385416667e-7,NA,30,r,scholander1952,1,5.200136385416667e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,5.769358364583334e-7,NA,30,r,scholander1952,1,5.769358364583334e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,6.627244218750001e-7,NA,30,r,scholander1952,1,6.627244218750001e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,6.858993697916666e-7,NA,30,r,scholander1952,1,6.858993697916666e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,7.352681552083333e-7,NA,30,r,scholander1952,1,7.352681552083333e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,9.050473916666667e-7,NA,30,r,scholander1952,1,9.050473916666667e-7
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,1.0039891520833333e-6,NA,30,r,scholander1952,1,1.0039891520833333e-6
1_scholander1952,cyanobacteria,neutral,71,scrobiculata,9.36577384375e-7,NA,30,r,scholander1952,1,9.36577384375e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,9.009815197916667e-8,NA,0,r,scholander1952,2,9.009815197916667e-8
2_scholander1952,cyanobacteria + green algae,high,71,crocea,9.996055645833332e-8,NA,0,r,scholander1952,2,9.996055645833332e-8
2_scholander1952,cyanobacteria + green algae,high,71,crocea,9.996055645833332e-8,NA,0,r,scholander1952,2,9.996055645833332e-8
2_scholander1952,cyanobacteria + green algae,high,71,crocea,1.10902528125e-7,NA,0,r,scholander1952,2,1.10902528125e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,1.18854775e-7,NA,0,r,scholander1952,2,1.18854775e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,2.1411925937500001e-7,NA,10,r,scholander1952,2,2.1411925937500001e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,2.2947264479166665e-7,NA,10,r,scholander1952,2,2.2947264479166665e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,2.54591384375e-7,NA,10,r,scholander1952,2,2.54591384375e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,2.8245969375000003e-7,NA,10,r,scholander1952,2,2.8245969375000003e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,3.0271341875000003e-7,NA,10,r,scholander1952,2,3.0271341875000003e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,4.915390072916667e-7,NA,20,r,scholander1952,2,4.915390072916667e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,5.453442895833334e-7,NA,20,r,scholander1952,2,5.453442895833334e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,6.263558614583335e-7,NA,20,r,scholander1952,2,6.263558614583335e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,6.263558614583335e-7,NA,20,r,scholander1952,2,6.263558614583335e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,7.194018031250001e-7,NA,20,r,scholander1952,2,7.194018031250001e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,3.244194322916667e-7,NA,30,r,scholander1952,2,3.244194322916667e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,3.7261234270833334e-7,NA,30,r,scholander1952,2,3.7261234270833334e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,3.99330446875e-7,NA,30,r,scholander1952,2,3.99330446875e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,5.088568e-7,NA,30,r,scholander1952,2,5.088568e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,5.645577375e-7,NA,30,r,scholander1952,2,5.645577375e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,6.263558614583335e-7,NA,30,r,scholander1952,2,6.263558614583335e-7
2_scholander1952,cyanobacteria + green algae,high,71,crocea,6.949185875e-7,NA,30,r,scholander1952,2,6.949185875e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,1.8642551770833334e-7,NA,0,r,scholander1952,3,1.8642551770833334e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,2.2947264479166665e-7,NA,0,r,scholander1952,3,2.2947264479166665e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,2.63561090625e-7,NA,0,r,scholander1952,3,2.63561090625e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,3.8574013645833337e-7,NA,0,r,scholander1952,3,3.8574013645833337e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,4.5865148125000005e-7,NA,10,r,scholander1952,3,4.5865148125000005e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,5.088568e-7,NA,10,r,scholander1952,3,5.088568e-7
