tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
6_leggat2004,-18.37,sp.,6.941017266187049e-8,38.40648062733848,29,gpp,leggat2004,6
6_leggat2004,-18.37,sp.,6.943162012208414e-8,38.27978928434875,30,gpp,leggat2004,6
6_leggat2004,-18.37,sp.,6.74675965772836e-8,38.028897661970575,32,gpp,leggat2004,6
6_leggat2004,-18.37,sp.,6.067476673206887e-8,37.65866662842876,35,gpp,leggat2004,6
6_leggat2004,-18.37,sp.,5.7827072160453447e-8,37.53685305369666,36,gpp,leggat2004,6
6_leggat2004,-18.37,sp.,4.551951907564856e-8,37.41582499,37,gpp,leggat2004,6
6_leggat2004,-18.37,sp.,1.999999999999993e-12,37.17609521560251,39,gpp,leggat2004,6
6_leggat2004,-18.37,sp.,5.164461085676912e-9,37.05737864138695,40,gpp,leggat2004,6
3_yang2022,18.13,voratum,2.1812969529103987e-5,38.79163670917708,26,gpp,yang2022,3
3_yang2022,18.13,voratum,2.1881781353826027e-5,38.27978928434875,30,gpp,yang2022,3
3_yang2022,18.13,voratum,1.5487326160889468e-5,37.781273389387344,34,gpp,yang2022,3
37_russnak2021,21.4691,minutum,2.1940547609848485e-5,40.98364161,10,gpp,russnak2021,37
37_russnak2021,21.4691,minutum,3.1147234272727274e-5,40.27249044438772,15,gpp,russnak2021,37
37_russnak2021,21.4691,minutum,4.962859560606061e-5,39.58559823145258,20,gpp,russnak2021,37
37_russnak2021,21.4691,minutum,5.7643270265151516e-5,38.92174449622782,25,gpp,russnak2021,37
37_russnak2021,21.4691,minutum,6.695794492424242e-5,38.27978928434875,30,gpp,russnak2021,37
37_russnak2021,21.4691,minutum,3.234788493939394e-5,37.65866662842876,35,gpp,russnak2021,37
37_russnak2021,21.4691,minutum,4.6e-6,37.05737864138695,40,gpp,russnak2021,37
38_russnak2021,-8.7832,psygmophilum,3.350155360606061e-5,40.98364161,10,gpp,russnak2021,38
38_russnak2021,-8.7832,psygmophilum,5.7643270265151516e-5,40.27249044438772,15,gpp,russnak2021,38
38_russnak2021,-8.7832,psygmophilum,9.459232424242426e-5,39.58559823145258,20,gpp,russnak2021,38
38_russnak2021,-8.7832,psygmophilum,1.269267035984849e-4,38.92174449622782,25,gpp,russnak2021,38
38_russnak2021,-8.7832,psygmophilum,1.199606675757576e-4,38.27978928434875,30,gpp,russnak2021,38
38_russnak2021,-8.7832,psygmophilum,6.350155360606061e-5,37.65866662842876,35,gpp,russnak2021,38
38_russnak2021,-8.7832,psygmophilum,9.2e-6,37.05737864138695,40,gpp,russnak2021,38
39_russnak2021,-8.7832,minutum,1.855295609090909e-5,40.98364161,10,gpp,russnak2021,39
39_russnak2021,-8.7832,minutum,1.8551620284090912e-5,40.27249044438772,15,gpp,russnak2021,39
39_russnak2021,-8.7832,minutum,3.597761286363637e-5,39.58559823145258,20,gpp,russnak2021,39
39_russnak2021,-8.7832,minutum,4.0558503401515155e-5,38.92174449622782,25,gpp,russnak2021,39
39_russnak2021,-8.7832,minutum,4.636295609090909e-5,38.27978928434875,30,gpp,russnak2021,39
39_russnak2021,-8.7832,minutum,1.6299999999999996e-5,37.65866662842876,35,gpp,russnak2021,39
39_russnak2021,-8.7832,minutum,5.799999999999999e-6,37.05737864138695,40,gpp,russnak2021,39
40_russnak2021,-8.7832,psygmophilum,2.7828503401515153e-5,40.98364161,10,gpp,russnak2021,40
40_russnak2021,-8.7832,psygmophilum,5.218004329545455e-5,40.27249044438772,15,gpp,russnak2021,40
40_russnak2021,-8.7832,psygmophilum,8.577891155303031e-5,39.58559823145258,20,gpp,russnak2021,40
40_russnak2021,-8.7832,psygmophilum,1.0085534939393941e-4,38.92174449622782,25,gpp,russnak2021,40
40_russnak2021,-8.7832,psygmophilum,1.0200024738636363e-4,38.27978928434875,30,gpp,russnak2021,40
40_russnak2021,-8.7832,psygmophilum,5.2178707500000006e-5,37.65866662842876,35,gpp,russnak2021,40
40_russnak2021,-8.7832,psygmophilum,-2.2999999999999983e-6,37.05737864138695,40,gpp,russnak2021,40
41_russnak2021,21.4691,minutum,2.6157575757575758e-5,40.98364161,10,gpp,russnak2021,41
41_russnak2021,21.4691,minutum,4.318212121212122e-5,40.27249044438772,15,gpp,russnak2021,41
41_russnak2021,21.4691,minutum,6.252121212121212e-5,39.58559823145258,20,gpp,russnak2021,41
41_russnak2021,21.4691,minutum,8.29939393939394e-5,38.92174449622782,25,gpp,russnak2021,41
41_russnak2021,21.4691,minutum,8.291212121212121e-5,38.27978928434875,30,gpp,russnak2021,41
41_russnak2021,21.4691,minutum,3.6393939393939395e-5,37.65866662842876,35,gpp,russnak2021,41
41_russnak2021,21.4691,minutum,7.999999999999998e-6,37.05737864138695,40,gpp,russnak2021,41
42_russnak2021,21.4691,trenchii,7.950303030303031e-6,40.98364161,10,gpp,russnak2021,42
42_russnak2021,21.4691,trenchii,1.7048484848484847e-5,40.27249044438772,15,gpp,russnak2021,42
42_russnak2021,21.4691,trenchii,3.067575757575758e-5,39.58559823145258,20,gpp,russnak2021,42
42_russnak2021,21.4691,trenchii,4.656666666666667e-5,38.92174449622782,25,gpp,russnak2021,42
42_russnak2021,21.4691,trenchii,4.316666666666667e-5,38.27978928434875,30,gpp,russnak2021,42
42_russnak2021,21.4691,trenchii,2.278e-5,37.65866662842876,35,gpp,russnak2021,42
42_russnak2021,21.4691,trenchii,2.3000000000000017e-6,37.05737864138695,40,gpp,russnak2021,42
43_russnak2021,21.4691,minutum,1.023030303030303e-5,40.98364161,10,gpp,russnak2021,43
43_russnak2021,21.4691,minutum,1.7048484848484847e-5,40.27249044438772,15,gpp,russnak2021,43
43_russnak2021,21.4691,minutum,2.4996666666666667e-5,39.58559823145258,20,gpp,russnak2021,43
43_russnak2021,21.4691,minutum,4.2039393939393945e-5,38.92174449622782,25,gpp,russnak2021,43
43_russnak2021,21.4691,minutum,4.771212121212122e-5,38.27978928434875,30,gpp,russnak2021,43
43_russnak2021,21.4691,minutum,3.5257575757575756e-5,37.65866662842876,35,gpp,russnak2021,43
43_russnak2021,21.4691,minutum,0,37.05737864138695,40,gpp,russnak2021,43
44_russnak2021,21.4691,linucheae,1.586666666666667e-5,40.98364161,10,gpp,russnak2021,44
44_russnak2021,21.4691,linucheae,3.518484848484849e-5,40.27249044438772,15,gpp,russnak2021,44
44_russnak2021,21.4691,linucheae,4.8912121212121214e-5,39.58559823145258,20,gpp,russnak2021,44
44_russnak2021,21.4691,linucheae,6.706666666666667e-5,38.92174449622782,25,gpp,russnak2021,44
44_russnak2021,21.4691,linucheae,7.723030303030303e-5,38.27978928434875,30,gpp,russnak2021,44
44_russnak2021,21.4691,linucheae,3.07e-5,37.65866662842876,35,gpp,russnak2021,44
44_russnak2021,21.4691,linucheae,5.700000000000003e-6,37.05737864138695,40,gpp,russnak2021,44
45_russnak2021,-8.7832,voratum,3.092324056818182e-5,40.98364161,10,gpp,russnak2021,45
45_russnak2021,-8.7832,voratum,3.864842300378788e-5,40.27249044438772,15,gpp,russnak2021,45
45_russnak2021,-8.7832,voratum,5.8009152765151515e-5,39.58559823145258,20,gpp,russnak2021,45
45_russnak2021,-8.7832,voratum,7.537210882575758e-5,38.92174449622782,25,gpp,russnak2021,45
45_russnak2021,-8.7832,voratum,8.507210882575757e-5,38.27978928434875,30,gpp,russnak2021,45
45_russnak2021,-8.7832,voratum,-1.102e-4,37.65866662842876,35,gpp,russnak2021,45
45_russnak2021,-8.7832,voratum,1.9000000000000055e-6,37.05737864138695,40,gpp,russnak2021,45
46_russnak2021,21.4691,minutum,5.229680178030303e-5,39.58559823145258,20,gpp,russnak2021,46
46_russnak2021,21.4691,minutum,5.314476727272727e-5,39.31735768778696,22,gpp,russnak2021,46
46_russnak2021,21.4691,minutum,5.7011726818181825e-5,39.05272798771773,24,gpp,russnak2021,46
46_russnak2021,21.4691,minutum,5.783322787878788e-5,38.79163670917708,26,gpp,russnak2021,46
46_russnak2021,21.4691,minutum,5.705213996212121e-5,38.53401335397749,28,gpp,russnak2021,46
46_russnak2021,21.4691,minutum,5.39140698219697e-5,38.27978928434875,30,gpp,russnak2021,46
46_russnak2021,21.4691,minutum,5.233054123863637e-5,38.028897661970575,32,gpp,russnak2021,46
46_russnak2021,21.4691,minutum,4.53254295530303e-5,37.781273389387344,34,gpp,russnak2021,46
47_russnak2021,-8.7832,minutum,4.651108815530303e-5,39.58559823145258,20,gpp,russnak2021,47
47_russnak2021,-8.7832,minutum,4.942203856818182e-5,39.31735768778696,22,gpp,russnak2021,47
47_russnak2021,-8.7832,minutum,5.425354683333333e-5,39.05272798771773,24,gpp,russnak2021,47
47_russnak2021,-8.7832,minutum,5.131108815530303e-5,38.79163670917708,26,gpp,russnak2021,47
47_russnak2021,-8.7832,minutum,4.943712121212121e-5,38.53401335397749,28,gpp,russnak2021,47
47_russnak2021,-8.7832,minutum,4.258371212121212e-5,38.27978928434875,30,gpp,russnak2021,47
47_russnak2021,-8.7832,minutum,2.42e-5,38.028897661970575,32,gpp,russnak2021,47
47_russnak2021,-8.7832,minutum,1.64e-5,37.781273389387344,34,gpp,russnak2021,47
48_russnak2021,21.4691,minutum,4.7151221087121216e-5,39.58559823145258,20,gpp,russnak2021,48
48_russnak2021,21.4691,minutum,5.181645810606061e-5,39.31735768778696,22,gpp,russnak2021,48
48_russnak2021,21.4691,minutum,5.56125856439394e-5,39.05272798771773,24,gpp,russnak2021,48
48_russnak2021,21.4691,minutum,5.873048856060606e-5,38.79163670917708,26,gpp,russnak2021,48
48_russnak2021,21.4691,minutum,6.10805431439394e-5,38.53401335397749,28,gpp,russnak2021,48
48_russnak2021,21.4691,minutum,5.799237879545454e-5,38.27978928434875,30,gpp,russnak2021,48
48_russnak2021,21.4691,minutum,5.098510498863637e-5,38.028897661970575,32,gpp,russnak2021,48
48_russnak2021,21.4691,minutum,3.8661387606060605e-5,37.781273389387344,34,gpp,russnak2021,48
49_russnak2021,21.4691,trenchii,6.185083901515153e-5,39.58559823145258,20,gpp,russnak2021,49
49_russnak2021,21.4691,trenchii,6.49521547348485e-5,39.31735768778696,22,gpp,russnak2021,49
49_russnak2021,21.4691,trenchii,7.115613636363637e-5,39.05272798771773,24,gpp,russnak2021,49
49_russnak2021,21.4691,trenchii,6.413494124999999e-5,38.79163670917708,26,gpp,russnak2021,49
49_russnak2021,21.4691,trenchii,6.652840291666666e-5,38.53401335397749,28,gpp,russnak2021,49
49_russnak2021,21.4691,trenchii,6.341060917424243e-5,38.27978928434875,30,gpp,russnak2021,49
49_russnak2021,21.4691,trenchii,5.407637185606061e-5,38.028897661970575,32,gpp,russnak2021,49
49_russnak2021,21.4691,trenchii,4.255517675e-5,37.781273389387344,34,gpp,russnak2021,49
50_russnak2021,21.4691,minutum,5.437522109848485e-5,39.58559823145258,20,gpp,russnak2021,50
50_russnak2021,21.4691,minutum,8.337352473484847e-5,39.31735768778696,22,gpp,russnak2021,50
50_russnak2021,21.4691,minutum,6.452493837121214e-5,39.05272798771773,24,gpp,russnak2021,50
50_russnak2021,21.4691,minutum,6.67251268560606e-5,38.79163670917708,26,gpp,russnak2021,50
50_russnak2021,21.4691,minutum,7.175007973484848e-5,38.53401335397749,28,gpp,russnak2021,50
50_russnak2021,21.4691,minutum,7.392512685606062e-5,38.27978928434875,30,gpp,russnak2021,50
50_russnak2021,21.4691,minutum,7.325026821969699e-5,38.028897661970575,32,gpp,russnak2021,50
50_russnak2021,21.4691,minutum,7.102550382575758e-5,37.781273389387344,34,gpp,russnak2021,50
51_russnak2021,-8.7832,voratum,6.205210696969697e-5,39.58559823145258,20,gpp,russnak2021,51
51_russnak2021,-8.7832,voratum,5.728524276515152e-5,39.31735768778696,22,gpp,russnak2021,51
51_russnak2021,-8.7832,voratum,5.654313965909091e-5,39.05272798771773,24,gpp,russnak2021,51
51_russnak2021,-8.7832,voratum,5.4955644280303036e-5,38.79163670917708,26,gpp,russnak2021,51
51_russnak2021,-8.7832,voratum,5.098309628787879e-5,38.53401335397749,28,gpp,russnak2021,51
51_russnak2021,-8.7832,voratum,4.9440443109848484e-5,38.27978928434875,30,gpp,russnak2021,51
51_russnak2021,-8.7832,voratum,4.5582842534090914e-5,38.028897661970575,32,gpp,russnak2021,51
51_russnak2021,-8.7832,voratum,3.3790213424242424e-5,37.781273389387344,34,gpp,russnak2021,51
52_russnak2021,-8.7832,psygmophilum,1.1736542750000001e-4,39.58559823145258,20,gpp,russnak2021,52
52_russnak2021,-8.7832,psygmophilum,1.285819910606061e-4,39.31735768778696,22,gpp,russnak2021,52
52_russnak2021,-8.7832,psygmophilum,1.3615979340909093e-4,39.05272798771773,24,gpp,russnak2021,52
52_russnak2021,-8.7832,psygmophilum,1.3739633700757576e-4,38.79163670917708,26,gpp,russnak2021,52
52_russnak2021,-8.7832,psygmophilum,1.336328805681818e-4,38.53401335397749,28,gpp,russnak2021,52
52_russnak2021,-8.7832,psygmophilum,1.2242566791666667e-4,38.27978928434875,30,gpp,russnak2021,52
52_russnak2021,-8.7832,psygmophilum,1.0866556909090909e-4,38.028897661970575,32,gpp,russnak2021,52
52_russnak2021,-8.7832,psygmophilum,8.746085393560607e-5,37.781273389387344,34,gpp,russnak2021,52
53_russnak2021,-8.7832,psygmophilum,8.614069265151515e-5,39.58559823145258,20,gpp,russnak2021,53
53_russnak2021,-8.7832,psygmophilum,9.743569765151516e-5,39.31735768778696,22,gpp,russnak2021,53
53_russnak2021,-8.7832,psygmophilum,9.868694640151515e-5,39.05272798771773,24,gpp,russnak2021,53
53_russnak2021,-8.7832,psygmophilum,8.365567765151515e-5,38.79163670917708,26,gpp,russnak2021,53
53_russnak2021,-8.7832,psygmophilum,9.615068265151516e-5,38.53401335397749,28,gpp,russnak2021,53
53_russnak2021,-8.7832,psygmophilum,9.485567765151516e-5,38.27978928434875,30,gpp,russnak2021,53
53_russnak2021,-8.7832,psygmophilum,8.861441890151516e-5,38.028897661970575,32,gpp,russnak2021,53
53_russnak2021,-8.7832,psygmophilum,7.61781551780303e-5,37.781273389387344,34,gpp,russnak2021,53
54_russnak2021,21.4691,linucheae,8.082476056818182e-5,39.58559823145258,20,gpp,russnak2021,54
54_russnak2021,21.4691,linucheae,7.612939238636364e-5,39.31735768778696,22,gpp,russnak2021,54
54_russnak2021,21.4691,linucheae,7.540412939393941e-5,39.05272798771773,24,gpp,russnak2021,54
54_russnak2021,21.4691,linucheae,7.536391897727273e-5,38.79163670917708,26,gpp,russnak2021,54
54_russnak2021,21.4691,linucheae,7.61938137878788e-5,38.53401335397749,28,gpp,russnak2021,54
54_russnak2021,21.4691,linucheae,7.610876117424243e-5,38.27978928434875,30,gpp,russnak2021,54
54_russnak2021,21.4691,linucheae,6.984328780303031e-5,38.028897661970575,32,gpp,russnak2021,54
54_russnak2021,21.4691,linucheae,6.122265661742424e-5,37.781273389387344,34,gpp,russnak2021,54
5_goulet2005,25.098,spp,9.256306500946969e-5,38.92174449622782,25,gpp,goulet2005,5
5_goulet2005,25.098,spp,9.935702688210227e-5,38.028897661970575,32,gpp,goulet2005,5
5_goulet2005,25.098,spp,1.099524906841856e-4,37.781273389387344,34,gpp,goulet2005,5
6_goulet2005,32.348,spp,6.75625760061553e-5,38.92174449622782,25,gpp,goulet2005,6
6_goulet2005,32.348,spp,2.38e-5,38.028897661970575,32,gpp,goulet2005,6
6_goulet2005,32.348,spp,-1.1999999999999994e-5,37.781273389387344,34,gpp,goulet2005,6
