individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID
PV25,22,control,22.00740816,1.001176442,GP,light,PV25_L
PV25,24,control,23.97683673,0.633181218,R,dark,PV25_D
PV25,24,control,24.19667347,0.477704407,NP,light,PV25_L
PV25,24,control,24.0867551,1.110885624,GP,light,PV25_L
PV25,28,control,28.27020408,0.749353643,R,dark,PV25_D
PV25,28,control,28.0547551,0.586800752,NP,light,PV25_L
PV25,28,control,28.16247959,1.336154396,GP,light,PV25_L
PV25,30,control,30.12797959,0.729907569,R,dark,PV25_D
PV25,30,control,29.99602041,0.583107926,NP,light,PV25_L
PV25,30,control,30.062,1.313015495,GP,light,PV25_L
PV25,32,control,31.90340741,0.84086219,R,dark,PV25_D
PV25,32,control,32.01640816,0.497110196,NP,light,PV25_L
PV25,32,control,31.95990779,1.337972386,GP,light,PV25_L
PV25,34,control,34.03679592,0.958792118,R,dark,PV25_D
PV25,34,control,34.23181633,0.365441384,NP,light,PV25_L
PV25,34,control,34.13430612,1.324233502,GP,light,PV25_L
PV25,36,control,36.09833929,0.957760606,R,dark,PV25_D
PV25,36,control,36.03169388,0.070886955,NP,light,PV25_L
PV25,36,control,36.06501658,1.028647561,GP,light,PV25_L
PV25,37,control,37.10614286,0.893627002,R,dark,PV25_D
PV25,37,control,36.81822449,-0.25738664,NP,light,PV25_L
PV25,37,control,36.96218367,0.636240363,GP,light,PV25_L
PV25,38,control,38.27791837,0.796450136,R,dark,PV25_D
PV25,39,control,39.14026531,0.700160136,R,dark,PV25_D
PV26,20,control,20.21416327,0.221828663,R,dark,PV26_D
PV26,20,control,20.2394375,0.289549356,NP,light,PV26_L
PV26,20,control,20.22680038,0.511378019,GP,light,PV26_L
PV26,22,control,21.99346939,0.289382512,R,dark,PV26_D
PV26,22,control,22.10702041,0.409250492,NP,light,PV26_L
PV26,22,control,22.0502449,0.698633004,GP,light,PV26_L
PV26,24,control,24.13525,0.471829004,R,dark,PV26_D
PV26,24,control,24.02204082,0.519210686,NP,light,PV26_L
PV26,24,control,24.07864541,0.99103969,GP,light,PV26_L
PV26,28,control,28.02544,0.389761861,R,dark,PV26_D
PV26,28,control,27.88016327,0.698354065,NP,light,PV26_L
PV26,28,control,27.95280163,1.088115926,GP,light,PV26_L
PV26,30,control,30.1820625,0.388135453,R,dark,PV26_D
PV26,30,control,30.01642857,0.649816383,NP,light,PV26_L
PV26,30,control,30.09924554,1.037951837,GP,light,PV26_L
PV26,32,control,31.91491837,0.477886517,R,dark,PV26_D
PV26,32,control,32.18177551,0.545907451,NP,light,PV26_L
PV26,32,control,32.04834694,1.023793968,GP,light,PV26_L
PV26,34,control,33.70589583,0.532881569,R,dark,PV26_D
PV26,34,control,33.98459184,0.376071952,NP,light,PV26_L
PV26,34,control,33.84524384,0.908953521,GP,light,PV26_L
PV26,36,control,35.85537736,0.496725134,R,dark,PV26_D
PV26,36,control,35.81520408,0.08474376,NP,light,PV26_L
PV26,36,control,35.83529072,0.581468894,GP,light,PV26_L
PV26,37,control,36.84963265,0.423155707,R,dark,PV26_D
PV26,37,control,36.87946939,-0.185383869,NP,light,PV26_L
PV26,37,control,36.86455102,0.237771838,GP,light,PV26_L
PV26,38,control,38.1187551,0.365246347,R,dark,PV26_D
PV27,20,control,20.206125,0.255628278,R,dark,PV27_D
PV27,20,control,20.15089796,0.316263394,NP,light,PV27_L
PV27,20,control,20.17851148,0.571891672,GP,light,PV27_L
PV27,22,control,22.05416327,0.255847468,R,dark,PV27_D
PV27,22,control,22.17740816,0.425581763,NP,light,PV27_L
PV27,22,control,22.11578571,0.68142923,GP,light,PV27_L
PV27,24,control,24.14083333,0.277706133,R,dark,PV27_D
PV27,24,control,23.85489796,0.52375129,NP,light,PV27_L
PV27,24,control,23.99786565,0.801457423,GP,light,PV27_L
PV27,28,control,28.22178,0.360335949,R,dark,PV27_D
PV27,28,control,27.84369388,0.632005503,NP,light,PV27_L
PV27,28,control,28.03273694,0.992341453,GP,light,PV27_L
PV27,30,control,30.19228571,0.372526539,R,dark,PV27_D
PV27,30,control,29.91920408,0.569480769,NP,light,PV27_L
PV27,30,control,30.0557449,0.942007308,GP,light,PV27_L
PV27,32,control,31.96695918,0.41710243,R,dark,PV27_D
PV27,32,control,32.03491837,0.53346806,NP,light,PV27_L
PV27,32,control,32.00093878,0.95057049,GP,light,PV27_L
PV27,34,control,33.82847917,0.50167307,R,dark,PV27_D
PV27,34,control,33.84169388,0.31307344,NP,light,PV27_L
PV27,34,control,33.83508652,0.814746509,GP,light,PV27_L
PV27,36,control,36.05777358,0.459564862,R,dark,PV27_D
