tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id
4_domaschke_2013,green algae,neutral,78.1,aculeata,-5.584905659999999e-8,38.92174449622782,25,npp,domaschke_2013
4_domaschke_2013,green algae,neutral,78.1,aculeata,-8.000000004e-8,38.27978928434875,30,npp,domaschke_2013
1_lange2000,cyanobacteria,high,8,phyllocarpum,8.1003963012e-4,40.55396862327563,13,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0022842800531999996,39.7210957437971,19,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0022287978863999997,39.857524030741274,18,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0030768824304,39.31735768778696,22,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0029817701448,38.92174449622782,25,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0021733157196000006,38.40648062733848,29,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0027915455748,37.17609521560251,39,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0019355350068,37.05737864138695,40,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0026488771464,36.70573500411299,43,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0023001321,36.360702245183525,46,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0015709379124,35.910623925577354,50,npp,lange2000
1_lange2000,cyanobacteria,high,8,phyllocarpum,7.545574636800001e-4,35.910623925577354,50,npp,lange2000
1_lange2004,cyanobacteria,high,8,aurata,1.4916556296000002e-6,40.9836416088657,10,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.4487417216000003e-6,40.55396862327563,13,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.9851655632000003e-6,40.27249044438772,15,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.0638410600000003e-6,40.1332115564597,16,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.1067549668e-6,39.857524030741274,18,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.407152318e-6,39.857524030741274,18,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.3070198672000004e-6,39.7210957437971,19,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.3213245032000003e-6,39.451022000851,21,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.2068874176e-6,39.451022000851,21,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.3499337752e-6,39.31735768778696,22,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.2498013244000005e-6,39.052727987717724,24,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,2.0423841060000003e-6,39.18459605453426,23,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.9064900664000003e-6,38.92174449622782,25,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.9136423844e-6,38.79163670917708,26,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.7777483448000001e-6,38.66239587389746,27,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.5560264904000003e-6,38.66239587389746,27,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.8778807944000001e-6,38.27978928434875,30,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.6132450332000002e-6,37.9046811090979,33,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.3700662248000003e-6,38.40648062733848,29,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,1.1340397351200001e-6,38.27978928434875,30,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,5.618543046000001e-7,37.53685305369666,36,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,3.973509936e-8,36.93941786264626,41,npp,lange2004
1_lange2004,cyanobacteria,high,8,aurata,-9.615894036000002e-8,36.822205684754316,42,npp,lange2004
1_reiter2000,green algae,high,47.0004,islandica,7.637543927999999e-8,42.17524303670842,2,npp,reiter2000
1_reiter2000,green algae,high,47.0004,islandica,2.6870535564e-7,40.9836416088657,10,npp,reiter2000
1_reiter2000,green algae,high,47.0004,islandica,3.0302275511999996e-7,39.58559823145258,20,npp,reiter2000
1_reiter2000,green algae,high,47.0004,islandica,-2.4134078208e-7,38.27978928434875,30,npp,reiter2000
3_reiter2000,green algae,high,47.0004,nivalis,6.381502895999999e-8,42.17524303670842,2,npp,reiter2000
3_reiter2000,green algae,high,47.0004,nivalis,7.172413788000001e-8,40.9836416088657,10,npp,reiter2000
3_reiter2000,green algae,high,47.0004,nivalis,-1.5999999995999998e-7,39.58559823145258,20,npp,reiter2000
3_reiter2000,green algae,high,47.0004,nivalis,-6.719999999999999e-7,38.27978928434875,30,npp,reiter2000
1_sancho1997,green algae,high,40.8509,grisea,-8.804571432e-8,42.4840495022893,0,npp,sancho1997
1_sancho1997,green algae,high,40.8509,grisea,-1.4729142851999997e-7,41.42251694288889,7,npp,sancho1997
1_sancho1997,green algae,high,40.8509,grisea,-1.6265142852e-7,40.41273940989142,14,npp,sancho1997
1_sancho1997,green algae,high,40.8509,grisea,-3.2502857147999996e-7,39.451022000851,21,npp,sancho1997
1_sancho1997,green algae,high,40.8509,grisea,-4.4132571431999995e-7,38.53401335397749,28,npp,sancho1997
1_sancho1997,green algae,high,40.8509,grisea,-5.4226285716e-7,37.65866662842876,35,npp,sancho1997
6_sancho1997,green algae,high,40.8509,grisea,4.912457143199999e-7,42.4840495022893,0,npp,sancho1997
6_sancho1997,green algae,high,40.8509,grisea,7.786971428399999e-7,41.42251694288889,7,npp,sancho1997
6_sancho1997,green algae,high,40.8509,grisea,1.0793142856799998e-6,40.41273940989142,14,npp,sancho1997
6_sancho1997,green algae,high,40.8509,grisea,9.0596571432e-7,39.451022000851,21,npp,sancho1997
6_sancho1997,green algae,high,40.8509,grisea,9.498514285199999e-7,38.53401335397749,28,npp,sancho1997
6_sancho1997,green algae,high,40.8509,grisea,8.0722285716e-7,37.65866662842876,35,npp,sancho1997
1_schroeter1995,green algae,neutral,-77,aprina,1.5946843799999997e-8,43.765861291911456,-8,npp,schroeter1995
1_schroeter1995,green algae,neutral,-77,aprina,5.421926916e-8,43.42195742394882,-5.9,npp,schroeter1995
1_schroeter1995,green algae,neutral,-77,aprina,1.499003322e-7,43.11543050919681,-4,npp,schroeter1995
1_schroeter1995,green algae,neutral,-77,aprina,2.3122923587999996e-7,42.79741147538382,-2,npp,schroeter1995
1_schroeter1995,green algae,neutral,-77,aprina,3.843189368399999e-7,42.4840495022893,0,npp,schroeter1995
1_schroeter1995,green algae,neutral,-77,aprina,3.9867109631999996e-7,42.17524303670842,2,npp,schroeter1995
1_schroeter1995,green algae,neutral,-77,aprina,4.1302325579999994e-7,41.87089345679351,4,npp,schroeter1995
1_smith2001,green algae,neutral,-46.8964,complicatulum,-2.5280128013333332e-6,38.92174449622782,25,npp,smith2001
1_smith2001,green algae,neutral,-46.8964,complicatulum,-2.3695969596666664e-6,38.92174449622782,25,npp,smith2001
1_smith2001,green algae,neutral,-46.8964,complicatulum,-1.7557555756666665e-6,39.58559823145258,20,npp,smith2001
1_smith2001,green algae,neutral,-46.8964,complicatulum,-1.5379337933333333e-6,39.58559823145258,20,npp,smith2001
1_smith2001,green algae,neutral,-46.8964,complicatulum,-1.1616961696666666e-6,40.27249044438772,15,npp,smith2001
1_smith2001,green algae,neutral,-46.8964,complicatulum,-9.438743873333333e-7,40.27249044438772,15,npp,smith2001
1_smith2001,green algae,neutral,-46.8964,complicatulum,-7.458345833333334e-7,40.9836416088657,10,npp,smith2001
1_smith2001,green algae,neutral,-46.8964,complicatulum,-2.903890389e-7,41.720359955241136,5,npp,smith2001
1_smith2001,green algae,neutral,-46.8964,complicatulum,-1.3161316133333333e-8,42.329083062375794,1,npp,smith2001
1_uchida2006,green algae,neutral,79,delisei,1.5396401575399531e-7,41.87089345679351,4,npp,uchida2006
1_uchida2006,green algae,neutral,79,delisei,1.514807240778611e-7,41.42251694288889,7,npp,uchida2006
1_uchida2006,green algae,neutral,79,delisei,1.4403084904945845e-7,40.696188397511214,12,npp,uchida2006
1_uchida2006,green algae,neutral,79,delisei,1.2788946451564042e-7,40.27249044438772,15,npp,uchida2006
1_uchida2006,green algae,neutral,79,delisei,1.0491902597894418e-7,39.58559823145258,20,npp,uchida2006
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.0025479247354838704,40.55396862327563,13,npp,sundberg1997
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.002786926064516129,40.1332115564597,16,npp,sundberg1997
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.0027613187806451614,39.7210957437971,19,npp,sundberg1997
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.002829604858064516,39.31735768778696,22,npp,sundberg1997
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.0024711028838709675,38.92174449622782,25,npp,sundberg1997
2_sundberg1997,green algae,neutral,64.14,glauca,3.456983225806451e-4,41.570904967043965,6,npp,sundberg1997
2_sundberg1997,green algae,neutral,64.14,glauca,5.846996516129032e-4,40.839409190745464,11,npp,sundberg1997
2_sundberg1997,green algae,neutral,64.14,glauca,8.663797741935483e-4,40.1332115564597,16,npp,sundberg1997
2_sundberg1997,green algae,neutral,64.14,glauca,8.066294322580644e-4,39.451022000851,21,npp,sundberg1997
1_tretiach1997,green algae,neutral,45.39,baldensis,4.730012322580644e-4,41.720359955241136,5,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,5.155614348387095e-4,41.720359955241136,5,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,5.611712709677419e-4,41.720359955241136,5,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,5.338207625806451e-4,41.570904967043965,6,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,6.128707567741935e-4,41.570904967043965,6,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,4.306430574193548e-4,41.42251694288889,7,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,4.550112735483871e-4,41.42251694288889,7,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,5.766310916129032e-4,41.42251694288889,7,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.043020780645161e-4,41.42251694288889,7,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,6.799819625806451e-4,41.42251694288889,7,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.468911406451612e-4,41.42251694288889,7,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.168277070967742e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.594167696774193e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,4.7979316451612897e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,4.980524903225806e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,5.345230432258064e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,5.162637154838709e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,6.135441774193548e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,6.682548174193548e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,6.86466042580645e-4,40.9836416088657,10,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,5.163118180645162e-4,40.839409190745464,11,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,5.527919903225805e-4,40.839409190745464,11,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0010338357929032256,40.1332115564597,16,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,9.183344864516129e-4,40.1332115564597,16,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,8.939951303225806e-4,40.1332115564597,16,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,8.760147909677418e-4,39.99489271601007,17,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0010583290741935484,39.99489271601007,17,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0010826539993548387,39.99489271601007,17,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0011130685741935482,39.99489271601007,17,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0011373598296774191,39.99489271601007,17,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.001155619155483871,39.99489271601007,17,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0011678657961290322,39.99489271601007,17,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0010949054496774192,39.99489271601007,17,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,6.939987367741934e-4,39.58559823145258,20,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.243796419354839e-4,39.58559823145258,20,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.547701645161289e-4,39.58559823145258,20,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,0.001016317229032258,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,9.615969696774192e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,9.921221787096773e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,8.705216012903224e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,8.1580134e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.854011961290321e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.85353095483871e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.85324233548387e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.36684002580645e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.123831277419354e-4,39.451022000851,21,npp,tretiach1997
1_tretiach1997,green algae,neutral,45.39,baldensis,7.001845896774194e-4,39.451022000851,21,npp,tretiach1997
1_zotz1998,cyanobacteria,high,8,tomentosa,2.3721275019718317e-7,40.696188397511214,12,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,4.981467753802818e-7,40.41273940989142,14,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,6.997776129577466e-7,40.1332115564597,16,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,8.183839881690142e-7,39.857524030741274,18,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,1.067457375774648e-6,39.58559823145258,20,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,1.2809488512676058e-6,39.31735768778696,22,npp,zotz1998
