paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,npp_value,r_value,npp_error,r_error,n
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,10,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,12.43046358,-3.304635762,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,13,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,12.07284768,-1.993377483,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,17,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,14.63576159,-3.304635762,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,15,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,16.54304636,-3.900662252,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,16,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,17.1986755,-2.589403974,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,18,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,20.05960265,-3.900662252,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,19,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,19.22516556,-7.59602649,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,20,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,19.94039735,-3.42384106,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,21,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,18.39072848,-5.450331126,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,22,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,19.58278146,-7.834437086,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,24,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,18.74834437,-4.973509934,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,23,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,17.01986755,-7.953642384,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,25,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,15.88741722,-10.69536424,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,26,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,15.94701987,-6.642384106,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,27,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,12.96688742,-9.503311258,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,33,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,13.44370861,-12.42384106,,,
